time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1154, "speed": 8000}}',""
0.01,POSITION,'{"13": {"position": 1455, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1157, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1453, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1450, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1447, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1444, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1159, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1439, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1436, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1434, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1431, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1161, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1429, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1164, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1427, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1425, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1167, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1172, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1423, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1175, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1421, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1177, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1419, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1181, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1184, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1187, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1416, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1189, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1414, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1191, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1197, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1412, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1199, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1410, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1204, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1408, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1207, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1406, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1210, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1404, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1213, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1402, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1400, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1216, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1397, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1394, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1219, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1392, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1221, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1390, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1223, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1387, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1385, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1226, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1381, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1379, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1234, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1374, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1244, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1370, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1250, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1365, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1267, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1354, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1288, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1339, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1302, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1331, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1328, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1314, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1352, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 1293, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1366, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1280, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1394, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1254, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1424, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 1222, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1439, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1205, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1469, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1170, "speed": 8000}}',""
