time,instruction,arg_1,arg_2
0.0,POSITION,'{"13": {"position": 1648, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1645, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1643, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1640, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1637, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1635, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1633, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1631, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1628, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1625, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 829, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1621, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 832, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1618, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 836, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1614, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 838, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1609, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1607, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 840, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1604, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1602, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1599, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 843, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1595, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1585, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1580, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 845, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1571, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1565, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1563, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1561, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1558, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1556, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1554, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1550, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1548, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1542, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1536, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1533, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1526, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1520, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1517, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1512, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1510, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 847, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1503, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1496, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 849, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1493, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 853, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1485, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 860, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1479, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 866, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1475, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 881, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1464, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 894, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1456, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 919, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1441, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 930, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1431, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 950, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 1408, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 966, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1392, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 972, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1384, "speed": 8000}}',""
0.74,POSITION,'{"12": {"position": 982, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 1371, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 996, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1355, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1009, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1343, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 1052, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 1314, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 1236, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1272, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 1388, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 1100, "speed": 8000}}',""
0.82,POSITION,'{"12": {"position": 1407, "speed": 8000}}',""
0.82,POSITION,'{"13": {"position": 1090, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 1461, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1062, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1488, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1045, "speed": 8000}}',""
0.86,POSITION,'{"12": {"position": 1640, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 1004, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1672, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 971, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1694, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 955, "speed": 8000}}',""
0.9,POSITION,'{"12": {"position": 1739, "speed": 8000}}',""
