time,instruction,arg_1,arg_2
0.04,POSITION,'{"5": {"position": 1557, "speed": 8000}}',""
0.06,POSITION,'{"5": {"position": 1553, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 1550, "speed": 8000}}',""
0.11,POSITION,'{"5": {"position": 1554, "speed": 8000}}',""
0.12,POSITION,'{"5": {"position": 1560, "speed": 8000}}',""
0.14,POSITION,'{"5": {"position": 1582, "speed": 8000}}',""
0.15,POSITION,'{"5": {"position": 1609, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 1628, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 1669, "speed": 8000}}',""
0.19,POSITION,'{"5": {"position": 1691, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1737, "speed": 8000}}',""
0.21,POSITION,'{"7": {"position": 1451, "speed": 8000}, "6": {"position": 1622, "speed": 8000}}',""
0.21,POSITION,'{"5": {"position": 1910, "speed": 8000}}',""
0.22,POSITION,'{"5": {"position": 1930, "speed": 8000}}',""
0.24,POSITION,'{"7": {"position": 1453, "speed": 8000}, "6": {"position": 1620, "speed": 8000}}',""
0.24,POSITION,'{"5": {"position": 1982, "speed": 8000}}',""
0.25,POSITION,'{"7": {"position": 1455, "speed": 8000}, "6": {"position": 1618, "speed": 8000}}',""
0.25,POSITION,'{"5": {"position": 2031, "speed": 8000}}',""
0.26,POSITION,'{"5": {"position": 2052, "speed": 8000}}',""
0.28,POSITION,'{"7": {"position": 1458, "speed": 8000}, "6": {"position": 1614, "speed": 8000}}',""
0.28,POSITION,'{"5": {"position": 2084, "speed": 8000}}',""
0.29,POSITION,'{"7": {"position": 1459, "speed": 8000}, "6": {"position": 1612, "speed": 8000}}',""
0.29,POSITION,'{"5": {"position": 2102, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 2104, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 2100, "speed": 8000}}',""
0.33,POSITION,'{"7": {"position": 1461, "speed": 8000}, "6": {"position": 1610, "speed": 8000}}',""
0.33,POSITION,'{"5": {"position": 2074, "speed": 8000}}',""
