time,instruction,arg_1,arg_2
0.0,POSITION,'{"5": {"position": 1403, "speed": 8000}}',""
0.05,POSITION,'{"5": {"position": 1312, "speed": 8000}}',""
0.06,POSITION,'{"5": {"position": 1300, "speed": 8000}}',""
0.07,POSITION,'{"5": {"position": 1275, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 1259, "speed": 8000}}',""
0.1,POSITION,'{"5": {"position": 1229, "speed": 8000}}',""
0.11,POSITION,'{"5": {"position": 1212, "speed": 8000}}',""
0.12,POSITION,'{"7": {"position": 1545, "speed": 8000}, "6": {"position": 1505, "speed": 8000}}',""
0.12,POSITION,'{"5": {"position": 1176, "speed": 8000}}',""
0.13,POSITION,'{"7": {"position": 1544, "speed": 8000}, "6": {"position": 1507, "speed": 8000}}',""
0.13,POSITION,'{"5": {"position": 1158, "speed": 8000}}',""
0.15,POSITION,'{"7": {"position": 1542, "speed": 8000}, "6": {"position": 1509, "speed": 8000}}',""
0.15,POSITION,'{"5": {"position": 1120, "speed": 8000}}',""
0.16,POSITION,'{"7": {"position": 1541, "speed": 8000}, "6": {"position": 1511, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 1103, "speed": 8000}}',""
0.17,POSITION,'{"7": {"position": 1538, "speed": 8000}, "6": {"position": 1514, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 1072, "speed": 8000}}',""
0.19,POSITION,'{"5": {"position": 1058, "speed": 8000}}',""
0.2,POSITION,'{"7": {"position": 1535, "speed": 8000}, "6": {"position": 1518, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1032, "speed": 8000}}',""
0.22,POSITION,'{"7": {"position": 1532, "speed": 8000}, "6": {"position": 1521, "speed": 8000}}',""
0.22,POSITION,'{"5": {"position": 1003, "speed": 8000}}',""
0.23,POSITION,'{"7": {"position": 1530, "speed": 8000}, "6": {"position": 1524, "speed": 8000}}',""
0.23,POSITION,'{"5": {"position": 980, "speed": 8000}}',""
0.24,POSITION,'{"7": {"position": 1528, "speed": 8000}, "6": {"position": 1526, "speed": 8000}}',""
0.24,POSITION,'{"5": {"position": 969, "speed": 8000}}',""
0.26,POSITION,'{"7": {"position": 1526, "speed": 8000}, "6": {"position": 1528, "speed": 8000}}',""
0.26,POSITION,'{"5": {"position": 952, "speed": 8000}}',""
0.27,POSITION,'{"7": {"position": 1525, "speed": 8000}, "6": {"position": 1530, "speed": 8000}}',""
0.27,POSITION,'{"5": {"position": 939, "speed": 8000}}',""
0.29,POSITION,'{"5": {"position": 931, "speed": 8000}}',""
0.3,POSITION,'{"7": {"position": 1523, "speed": 8000}, "6": {"position": 1532, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 925, "speed": 8000}}',""
0.32,POSITION,'{"7": {"position": 1522, "speed": 8000}, "6": {"position": 1534, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 919, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 911, "speed": 8000}}',""
0.35,POSITION,'{"7": {"position": 1519, "speed": 8000}, "6": {"position": 1538, "speed": 8000}}',""
0.35,POSITION,'{"5": {"position": 902, "speed": 8000}}',""
0.37,POSITION,'{"7": {"position": 1516, "speed": 8000}, "6": {"position": 1541, "speed": 8000}}',""
0.37,POSITION,'{"5": {"position": 893, "speed": 8000}}',""
0.38,POSITION,'{"7": {"position": 1514, "speed": 8000}, "6": {"position": 1544, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 882, "speed": 8000}}',""
0.39,POSITION,'{"5": {"position": 877, "speed": 8000}}',""
0.41,POSITION,'{"7": {"position": 1511, "speed": 8000}, "6": {"position": 1547, "speed": 8000}}',""
0.41,POSITION,'{"5": {"position": 866, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 861, "speed": 8000}}',""
0.43,POSITION,'{"7": {"position": 1509, "speed": 8000}, "6": {"position": 1550, "speed": 8000}}',""
0.44,POSITION,'{"5": {"position": 852, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 847, "speed": 8000}}',""
0.46,POSITION,'{"7": {"position": 1506, "speed": 8000}, "6": {"position": 1553, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 839, "speed": 8000}}',""
0.47,POSITION,'{"7": {"position": 1504, "speed": 8000}, "6": {"position": 1556, "speed": 8000}}',""
0.47,POSITION,'{"5": {"position": 834, "speed": 8000}}',""
0.49,POSITION,'{"7": {"position": 1503, "speed": 8000}, "6": {"position": 1558, "speed": 8000}}',""
0.49,POSITION,'{"5": {"position": 831, "speed": 8000}}',""
0.5,POSITION,'{"7": {"position": 1501, "speed": 8000}, "6": {"position": 1560, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 824, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 819, "speed": 8000}}',""
0.53,POSITION,'{"7": {"position": 1500, "speed": 8000}, "6": {"position": 1562, "speed": 8000}}',""
0.53,POSITION,'{"5": {"position": 817, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 813, "speed": 8000}}',""
0.55,POSITION,'{"5": {"position": 810, "speed": 8000}}',""
0.57,POSITION,'{"5": {"position": 808, "speed": 8000}}',""
