time,instruction,arg_1,arg_2
0.56,POSITION,'{"0": {"position": 2179, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1996, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1726, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1581, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1559, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1403, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1389, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1354, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1338, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1320, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1336, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1359, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1546, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1716, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1751, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1762, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1738, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1523, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1350, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1154, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1135, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 963, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 913, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 831, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 851, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1032, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1194, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1383, "speed": 8000}}',""
