time,instruction,arg_1,arg_2
1.97,POSITION,'{"0": {"position": 1498, "speed": 8000}}',""
1.98,POSITION,'{"0": {"position": 1504, "speed": 8000}}',""
2.0,POSITION,'{"0": {"position": 1524, "speed": 8000}}',""
2.01,POSITION,'{"0": {"position": 1536, "speed": 8000}}',""
2.02,POSITION,'{"0": {"position": 1561, "speed": 8000}}',""
2.03,POSITION,'{"0": {"position": 1574, "speed": 8000}}',""
2.05,POSITION,'{"0": {"position": 1596, "speed": 8000}}',""
2.06,POSITION,'{"0": {"position": 1608, "speed": 8000}}',""
2.07,POSITION,'{"0": {"position": 1641, "speed": 8000}}',""
2.08,POSITION,'{"0": {"position": 1662, "speed": 8000}}',""
2.09,POSITION,'{"0": {"position": 1711, "speed": 8000}}',""
2.11,POSITION,'{"0": {"position": 1854, "speed": 8000}}',""
2.12,POSITION,'{"0": {"position": 1876, "speed": 8000}}',""
2.13,POSITION,'{"0": {"position": 1894, "speed": 8000}}',""
2.14,POSITION,'{"0": {"position": 1939, "speed": 8000}}',""
2.16,POSITION,'{"0": {"position": 2109, "speed": 8000}}',""
2.17,POSITION,'{"0": {"position": 2115, "speed": 8000}}',""
2.18,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
