time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1141, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1964, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1962, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1960, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1956, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1144, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1948, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1149, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1936, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1157, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1924, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1163, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1915, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1177, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1896, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1189, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1876, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1195, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1866, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1207, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1849, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1219, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1837, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1229, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1829, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1233, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1826, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1236, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1823, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1241, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1818, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1246, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1813, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1249, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1809, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1255, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1803, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1260, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1801, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1262, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1798, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1269, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1796, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1279, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1285, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1794, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1297, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1789, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1309, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1784, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1314, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1782, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1323, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1780, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1329, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1774, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1332, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1772, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1339, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1767, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1348, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1761, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1353, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1757, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1361, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1747, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1365, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1742, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1370, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1732, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1374, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1721, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1717, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1376, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1710, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1707, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1379, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1699, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1383, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1686, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 1387, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1677, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1397, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1664, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1407, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1654, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 1411, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1650, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1418, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1644, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1423, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1636, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1426, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 1630, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1434, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1618, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1446, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1606, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1455, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 1598, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1466, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1589, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1490, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1572, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1515, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 1552, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 1526, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1540, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 1547, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1516, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 1557, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 1505, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 1582, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1476, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1612, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 1448, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 1650, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1422, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1669, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1411, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1707, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 1393, "speed": 8000}}',""
0.89,POSITION,'{"12": {"position": 1724, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 1383, "speed": 8000}}',""
0.9,POSITION,'{"12": {"position": 1754, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 1358, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 1766, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 1343, "speed": 8000}}',""
0.93,POSITION,'{"12": {"position": 1794, "speed": 8000}}',""
0.93,POSITION,'{"13": {"position": 1314, "speed": 8000}}',""
0.94,POSITION,'{"12": {"position": 1820, "speed": 8000}}',""
0.94,POSITION,'{"13": {"position": 1283, "speed": 8000}}',""
0.96,POSITION,'{"12": {"position": 1832, "speed": 8000}}',""
0.96,POSITION,'{"13": {"position": 1268, "speed": 8000}}',""
0.97,POSITION,'{"12": {"position": 1854, "speed": 8000}}',""
0.97,POSITION,'{"13": {"position": 1243, "speed": 8000}}',""
