time,instruction,arg_1,arg_2
0.0,POSITION,'{"13": {"position": 1252, "speed": 8000}}',""
0.01,POSITION,'{"13": {"position": 1248, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1657, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1242, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1238, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1659, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1235, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1232, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1230, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1657, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1652, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1645, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1234, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1625, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1245, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1612, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1252, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1584, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1269, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1559, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1285, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1538, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1301, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1523, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1313, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1518, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1318, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1510, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1325, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1508, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1327, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1504, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1331, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1502, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1333, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1500, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1335, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1503, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1506, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1509, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1329, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1327, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1515, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1323, "speed": 8000}}',""
