time,instruction,arg_1,arg_2
0.01,POSITION,'{"5": {"position": 1461, "speed": 8000}}',""
0.03,POSITION,'{"5": {"position": 1457, "speed": 8000}}',""
0.04,POSITION,'{"7": {"position": 1536, "speed": 8000}, "6": {"position": 1516, "speed": 8000}}',""
0.04,POSITION,'{"5": {"position": 1454, "speed": 8000}}',""
0.05,POSITION,'{"7": {"position": 1533, "speed": 8000}, "6": {"position": 1520, "speed": 8000}}',""
0.05,POSITION,'{"5": {"position": 1440, "speed": 8000}}',""
0.07,POSITION,'{"7": {"position": 1528, "speed": 8000}, "6": {"position": 1526, "speed": 8000}}',""
0.07,POSITION,'{"5": {"position": 1418, "speed": 8000}}',""
0.08,POSITION,'{"7": {"position": 1524, "speed": 8000}, "6": {"position": 1531, "speed": 8000}}',""
0.08,POSITION,'{"5": {"position": 1406, "speed": 8000}}',""
0.09,POSITION,'{"7": {"position": 1498, "speed": 8000}, "6": {"position": 1564, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 1376, "speed": 8000}}',""
0.1,POSITION,'{"7": {"position": 1474, "speed": 8000}, "6": {"position": 1594, "speed": 8000}}',""
0.11,POSITION,'{"5": {"position": 1350, "speed": 8000}}',""
0.12,POSITION,'{"7": {"position": 1472, "speed": 8000}, "6": {"position": 1597, "speed": 8000}}',""
0.12,POSITION,'{"5": {"position": 1339, "speed": 8000}}',""
0.13,POSITION,'{"7": {"position": 1466, "speed": 8000}, "6": {"position": 1604, "speed": 8000}}',""
0.13,POSITION,'{"5": {"position": 1319, "speed": 8000}}',""
0.15,POSITION,'{"7": {"position": 1464, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',""
0.15,POSITION,'{"5": {"position": 1312, "speed": 8000}}',""
0.16,POSITION,'{"7": {"position": 1460, "speed": 8000}, "6": {"position": 1612, "speed": 8000}}',""
0.16,POSITION,'{"5": {"position": 1302, "speed": 8000}}',""
0.17,POSITION,'{"7": {"position": 1457, "speed": 8000}, "6": {"position": 1615, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 1296, "speed": 8000}}',""
0.19,POSITION,'{"5": {"position": 1294, "speed": 8000}}',""
0.2,POSITION,'{"7": {"position": 1455, "speed": 8000}, "6": {"position": 1618, "speed": 8000}}',""
0.2,POSITION,'{"5": {"position": 1292, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 1296, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 1298, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 1300, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 1302, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 1304, "speed": 8000}}',""
0.44,POSITION,'{"5": {"position": 1308, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 1311, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 1318, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1323, "speed": 8000}}',""
0.49,POSITION,'{"5": {"position": 1338, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 1348, "speed": 8000}}',""
0.51,POSITION,'{"7": {"position": 1458, "speed": 8000}, "6": {"position": 1614, "speed": 8000}}',""
0.51,POSITION,'{"5": {"position": 1367, "speed": 8000}}',""
0.53,POSITION,'{"5": {"position": 1375, "speed": 8000}}',""
0.54,POSITION,'{"7": {"position": 1461, "speed": 8000}, "6": {"position": 1610, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 1394, "speed": 8000}}',""
