time,instruction,arg_1,arg_2
0.55,POSITION,'{"0": {"position": 2158, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1971, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1630, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1473, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1280, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1265, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1218, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1190, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1142, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1128, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1133, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1328, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1350, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1556, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1775, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1946, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1950, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1939, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1781, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1633, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1380, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1162, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1146, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1094, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1072, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1048, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1056, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1257, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1283, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1494, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1513, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1505, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1463, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1283, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1249, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1224, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1048, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1027, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 846, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 833, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 849, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1046, "speed": 8000}}',""
