time,instruction,arg_1,arg_2
0.42,POSITION,'{"0": {"position": 2174, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 2165, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 2142, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 2130, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 2111, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 2087, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 2070, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 2033, "speed": 8000}}',""
0.52,POSITION,'{"0": {"position": 1990, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1969, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1931, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1919, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1931, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 2110, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 2183, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 2148, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1932, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1717, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1447, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1225, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1209, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1042, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1040, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1035, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1038, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1072, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1239, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1442, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1457, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1491, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1503, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1498, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1479, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1298, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1092, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1079, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1040, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1020, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 992, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 985, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1010, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1196, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1360, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1368, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1374, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1361, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1166, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1149, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 987, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 941, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 802, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 834, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1013, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1256, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1398, "speed": 8000}}',""
