time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1673, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1124, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1682, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1128, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1686, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1130, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1692, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1135, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1697, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1139, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1701, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1143, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1145, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1708, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1149, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1712, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1151, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1721, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1154, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 1725, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1156, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1733, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1159, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1740, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1163, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1743, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1165, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1748, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1172, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1750, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1176, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1753, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1181, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1756, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1185, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1188, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1758, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1192, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1195, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1197, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1760, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1199, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1201, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1203, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1205, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1207, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1210, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1212, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1215, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1217, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1220, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1222, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1224, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1226, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1228, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1231, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1235, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1240, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1242, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1757, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1247, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1250, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 1755, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1255, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1258, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1260, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1264, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1266, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1752, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1268, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1270, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1750, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1760, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1765, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1268, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1776, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1263, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 1782, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 1260, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 1792, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1253, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 1802, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 1245, "speed": 8000}}',""
0.82,POSITION,'{"12": {"position": 1815, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1238, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1822, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 1234, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 1835, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1227, "speed": 8000}}',""
0.86,POSITION,'{"12": {"position": 1840, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 1223, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1848, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 1214, "speed": 8000}}',""
