time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1500, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1477, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1475, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1469, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1465, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1452, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1447, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1437, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1432, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1422, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1416, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1404, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1398, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1392, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1382, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1375, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1503, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1372, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1506, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1368, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1365, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1508, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1363, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1358, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1356, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1351, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1349, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1346, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1344, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1511, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1342, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1513, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1516, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1523, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1525, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1529, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1531, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1535, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1539, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1545, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1344, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1553, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1347, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1557, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1568, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1350, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1574, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1352, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1585, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1354, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1593, "speed": 8000}}',""
