time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1439, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1525, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1527, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1437, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1435, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1530, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1534, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1536, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1538, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1541, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1544, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1546, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1549, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1432, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1551, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1429, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 1425, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1553, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1420, "speed": 8000}}',""
0.74,POSITION,'{"12": {"position": 1418, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1413, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1411, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 1406, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 1401, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1556, "speed": 8000}}',""
0.82,POSITION,'{"12": {"position": 1397, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1395, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 1392, "speed": 8000}}',""
0.86,POSITION,'{"13": {"position": 1559, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1389, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1561, "speed": 8000}}',""
0.89,POSITION,'{"12": {"position": 1387, "speed": 8000}}',""
0.9,POSITION,'{"12": {"position": 1385, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 1565, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 1568, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 1383, "speed": 8000}}',""
0.93,POSITION,'{"13": {"position": 1571, "speed": 8000}}',""
0.94,POSITION,'{"13": {"position": 1575, "speed": 8000}}',""
0.95,POSITION,'{"13": {"position": 1578, "speed": 8000}}',""
0.97,POSITION,'{"13": {"position": 1581, "speed": 8000}}',""
0.98,POSITION,'{"13": {"position": 1584, "speed": 8000}}',""
0.99,POSITION,'{"13": {"position": 1586, "speed": 8000}}',""
1.01,POSITION,'{"13": {"position": 1589, "speed": 8000}}',""
1.02,POSITION,'{"13": {"position": 1593, "speed": 8000}}',""
1.04,POSITION,'{"13": {"position": 1596, "speed": 8000}}',""
1.05,POSITION,'{"12": {"position": 1380, "speed": 8000}}',""
1.06,POSITION,'{"13": {"position": 1598, "speed": 8000}}',""
1.07,POSITION,'{"13": {"position": 1600, "speed": 8000}}',""
1.09,POSITION,'{"12": {"position": 1377, "speed": 8000}}',""
1.09,POSITION,'{"13": {"position": 1602, "speed": 8000}}',""
1.11,POSITION,'{"13": {"position": 1606, "speed": 8000}}',""
1.12,POSITION,'{"12": {"position": 1375, "speed": 8000}}',""
1.12,POSITION,'{"13": {"position": 1613, "speed": 8000}}',""
1.13,POSITION,'{"12": {"position": 1373, "speed": 8000}}',""
1.13,POSITION,'{"13": {"position": 1620, "speed": 8000}}',""
1.14,POSITION,'{"12": {"position": 1371, "speed": 8000}}',""
1.15,POSITION,'{"13": {"position": 1624, "speed": 8000}}',""
1.16,POSITION,'{"13": {"position": 1630, "speed": 8000}}',""
1.17,POSITION,'{"12": {"position": 1369, "speed": 8000}}',""
1.17,POSITION,'{"13": {"position": 1632, "speed": 8000}}',""
1.18,POSITION,'{"13": {"position": 1637, "speed": 8000}}',""
1.19,POSITION,'{"12": {"position": 1366, "speed": 8000}}',""
1.2,POSITION,'{"13": {"position": 1640, "speed": 8000}}',""
1.21,POSITION,'{"12": {"position": 1364, "speed": 8000}}',""
1.21,POSITION,'{"13": {"position": 1649, "speed": 8000}}',""
1.22,POSITION,'{"13": {"position": 1655, "speed": 8000}}',""
1.23,POSITION,'{"12": {"position": 1359, "speed": 8000}}',""
1.23,POSITION,'{"13": {"position": 1669, "speed": 8000}}',""
1.24,POSITION,'{"13": {"position": 1675, "speed": 8000}}',""
1.26,POSITION,'{"12": {"position": 1354, "speed": 8000}}',""
1.26,POSITION,'{"13": {"position": 1687, "speed": 8000}}',""
1.27,POSITION,'{"13": {"position": 1694, "speed": 8000}}',""
1.28,POSITION,'{"12": {"position": 1349, "speed": 8000}}',""
1.28,POSITION,'{"13": {"position": 1706, "speed": 8000}}',""
1.29,POSITION,'{"12": {"position": 1347, "speed": 8000}}',""
1.3,POSITION,'{"13": {"position": 1711, "speed": 8000}}',""
1.31,POSITION,'{"12": {"position": 1344, "speed": 8000}}',""
1.31,POSITION,'{"13": {"position": 1721, "speed": 8000}}',""
1.32,POSITION,'{"12": {"position": 1340, "speed": 8000}}',""
1.32,POSITION,'{"13": {"position": 1729, "speed": 8000}}',""
1.34,POSITION,'{"12": {"position": 1338, "speed": 8000}}',""
1.34,POSITION,'{"13": {"position": 1737, "speed": 8000}}',""
1.35,POSITION,'{"13": {"position": 1740, "speed": 8000}}',""
1.36,POSITION,'{"12": {"position": 1336, "speed": 8000}}',""
1.36,POSITION,'{"13": {"position": 1746, "speed": 8000}}',""
1.38,POSITION,'{"12": {"position": 1334, "speed": 8000}}',""
1.38,POSITION,'{"13": {"position": 1750, "speed": 8000}}',""
1.4,POSITION,'{"12": {"position": 1331, "speed": 8000}}',""
1.4,POSITION,'{"13": {"position": 1754, "speed": 8000}}',""
1.43,POSITION,'{"12": {"position": 1329, "speed": 8000}}',""
1.45,POSITION,'{"13": {"position": 1756, "speed": 8000}}',""
1.49,POSITION,'{"13": {"position": 1758, "speed": 8000}}',""
1.52,POSITION,'{"12": {"position": 1326, "speed": 8000}}',""
1.57,POSITION,'{"12": {"position": 1332, "speed": 8000}}',""
1.59,POSITION,'{"12": {"position": 1335, "speed": 8000}}',""
1.6,POSITION,'{"12": {"position": 1343, "speed": 8000}}',""
1.61,POSITION,'{"12": {"position": 1347, "speed": 8000}}',""
1.62,POSITION,'{"12": {"position": 1355, "speed": 8000}}',""
1.63,POSITION,'{"12": {"position": 1358, "speed": 8000}}',""
1.65,POSITION,'{"12": {"position": 1361, "speed": 8000}}',""
1.66,POSITION,'{"12": {"position": 1364, "speed": 8000}}',""
1.67,POSITION,'{"12": {"position": 1367, "speed": 8000}}',""
1.69,POSITION,'{"12": {"position": 1370, "speed": 8000}}',""
1.71,POSITION,'{"12": {"position": 1372, "speed": 8000}}',""
1.73,POSITION,'{"12": {"position": 1376, "speed": 8000}}',""
1.74,POSITION,'{"12": {"position": 1379, "speed": 8000}}',""
1.75,POSITION,'{"12": {"position": 1383, "speed": 8000}}',""
1.78,POSITION,'{"12": {"position": 1386, "speed": 8000}}',""
1.79,POSITION,'{"12": {"position": 1390, "speed": 8000}}',""
1.8,POSITION,'{"12": {"position": 1395, "speed": 8000}}',""
1.81,POSITION,'{"12": {"position": 1398, "speed": 8000}}',""
1.82,POSITION,'{"12": {"position": 1402, "speed": 8000}}',""
1.84,POSITION,'{"12": {"position": 1409, "speed": 8000}}',""
1.85,POSITION,'{"12": {"position": 1416, "speed": 8000}}',""
1.85,POSITION,'{"13": {"position": 1756, "speed": 8000}}',""
1.86,POSITION,'{"12": {"position": 1418, "speed": 8000}}',""
1.86,POSITION,'{"13": {"position": 1752, "speed": 8000}}',""
1.87,POSITION,'{"12": {"position": 1423, "speed": 8000}}',""
1.88,POSITION,'{"13": {"position": 1745, "speed": 8000}}',""
1.89,POSITION,'{"12": {"position": 1426, "speed": 8000}}',""
1.89,POSITION,'{"13": {"position": 1739, "speed": 8000}}',""
1.9,POSITION,'{"13": {"position": 1736, "speed": 8000}}',""
1.91,POSITION,'{"12": {"position": 1429, "speed": 8000}}',""
1.91,POSITION,'{"13": {"position": 1728, "speed": 8000}}',""
1.92,POSITION,'{"12": {"position": 1433, "speed": 8000}}',""
1.93,POSITION,'{"13": {"position": 1722, "speed": 8000}}',""
1.94,POSITION,'{"12": {"position": 1436, "speed": 8000}}',""
1.94,POSITION,'{"13": {"position": 1714, "speed": 8000}}',""
1.95,POSITION,'{"13": {"position": 1711, "speed": 8000}}',""
1.96,POSITION,'{"12": {"position": 1438, "speed": 8000}}',""
1.96,POSITION,'{"13": {"position": 1704, "speed": 8000}}',""
1.98,POSITION,'{"13": {"position": 1701, "speed": 8000}}',""
1.99,POSITION,'{"12": {"position": 1441, "speed": 8000}}',""
1.99,POSITION,'{"13": {"position": 1694, "speed": 8000}}',""
2.0,POSITION,'{"12": {"position": 1443, "speed": 8000}}',""
2.0,POSITION,'{"13": {"position": 1688, "speed": 8000}}',""
2.02,POSITION,'{"12": {"position": 1445, "speed": 8000}}',""
2.02,POSITION,'{"13": {"position": 1686, "speed": 8000}}',""
2.03,POSITION,'{"12": {"position": 1448, "speed": 8000}}',""
2.03,POSITION,'{"13": {"position": 1680, "speed": 8000}}',""
2.04,POSITION,'{"13": {"position": 1677, "speed": 8000}}',""
2.05,POSITION,'{"12": {"position": 1450, "speed": 8000}}',""
2.06,POSITION,'{"13": {"position": 1671, "speed": 8000}}',""
2.07,POSITION,'{"12": {"position": 1453, "speed": 8000}}',""
2.07,POSITION,'{"13": {"position": 1665, "speed": 8000}}',""
2.08,POSITION,'{"13": {"position": 1663, "speed": 8000}}',""
2.09,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
2.09,POSITION,'{"13": {"position": 1658, "speed": 8000}}',""
2.1,POSITION,'{"13": {"position": 1656, "speed": 8000}}',""
2.12,POSITION,'{"12": {"position": 1463, "speed": 8000}}',""
2.12,POSITION,'{"13": {"position": 1653, "speed": 8000}}',""
2.13,POSITION,'{"12": {"position": 1465, "speed": 8000}}',""
2.14,POSITION,'{"12": {"position": 1469, "speed": 8000}}',""
2.14,POSITION,'{"13": {"position": 1649, "speed": 8000}}',""
2.15,POSITION,'{"13": {"position": 1646, "speed": 8000}}',""
2.17,POSITION,'{"12": {"position": 1471, "speed": 8000}}',""
2.17,POSITION,'{"13": {"position": 1641, "speed": 8000}}',""
2.18,POSITION,'{"13": {"position": 1630, "speed": 8000}}',""
2.19,POSITION,'{"12": {"position": 1473, "speed": 8000}}',""
2.19,POSITION,'{"13": {"position": 1625, "speed": 8000}}',""
2.2,POSITION,'{"13": {"position": 1615, "speed": 8000}}',""
2.22,POSITION,'{"12": {"position": 1476, "speed": 8000}}',""
2.22,POSITION,'{"13": {"position": 1611, "speed": 8000}}',""
2.23,POSITION,'{"12": {"position": 1479, "speed": 8000}}',""
2.23,POSITION,'{"13": {"position": 1606, "speed": 8000}}',""
2.24,POSITION,'{"12": {"position": 1487, "speed": 8000}}',""
2.24,POSITION,'{"13": {"position": 1596, "speed": 8000}}',""
2.26,POSITION,'{"12": {"position": 1494, "speed": 8000}}',""
2.26,POSITION,'{"13": {"position": 1585, "speed": 8000}}',""
2.27,POSITION,'{"12": {"position": 1497, "speed": 8000}}',""
2.27,POSITION,'{"13": {"position": 1580, "speed": 8000}}',""
2.28,POSITION,'{"12": {"position": 1500, "speed": 8000}}',""
2.28,POSITION,'{"13": {"position": 1571, "speed": 8000}}',""
2.3,POSITION,'{"12": {"position": 1504, "speed": 8000}}',""
2.3,POSITION,'{"13": {"position": 1565, "speed": 8000}}',""
2.31,POSITION,'{"12": {"position": 1507, "speed": 8000}}',""
2.31,POSITION,'{"13": {"position": 1563, "speed": 8000}}',""
2.32,POSITION,'{"12": {"position": 1510, "speed": 8000}}',""
2.32,POSITION,'{"13": {"position": 1560, "speed": 8000}}',""
2.35,POSITION,'{"13": {"position": 1558, "speed": 8000}}',""
2.36,POSITION,'{"12": {"position": 1512, "speed": 8000}}',""
2.36,POSITION,'{"13": {"position": 1556, "speed": 8000}}',""
2.37,POSITION,'{"13": {"position": 1554, "speed": 8000}}',""
2.39,POSITION,'{"13": {"position": 1552, "speed": 8000}}',""
2.46,POSITION,'{"13": {"position": 1550, "speed": 8000}}',""
2.48,POSITION,'{"12": {"position": 1505, "speed": 8000}}',""
2.49,POSITION,'{"12": {"position": 1503, "speed": 8000}}',""
2.51,POSITION,'{"12": {"position": 1501, "speed": 8000}}',""
2.52,POSITION,'{"12": {"position": 1497, "speed": 8000}}',""
2.53,POSITION,'{"12": {"position": 1494, "speed": 8000}}',""
2.54,POSITION,'{"12": {"position": 1486, "speed": 8000}}',""
2.54,POSITION,'{"13": {"position": 1552, "speed": 8000}}',""
2.56,POSITION,'{"12": {"position": 1482, "speed": 8000}}',""
2.57,POSITION,'{"12": {"position": 1475, "speed": 8000}}',""
2.58,POSITION,'{"12": {"position": 1468, "speed": 8000}}',""
2.59,POSITION,'{"12": {"position": 1465, "speed": 8000}}',""
2.59,POSITION,'{"13": {"position": 1555, "speed": 8000}}',""
2.61,POSITION,'{"12": {"position": 1461, "speed": 8000}}',""
2.62,POSITION,'{"12": {"position": 1459, "speed": 8000}}',""
2.63,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
2.64,POSITION,'{"12": {"position": 1454, "speed": 8000}}',""
2.64,POSITION,'{"13": {"position": 1558, "speed": 8000}}',""
2.65,POSITION,'{"12": {"position": 1451, "speed": 8000}}',""
2.67,POSITION,'{"12": {"position": 1449, "speed": 8000}}',""
2.67,POSITION,'{"13": {"position": 1560, "speed": 8000}}',""
2.68,POSITION,'{"12": {"position": 1446, "speed": 8000}}',""
2.68,POSITION,'{"13": {"position": 1564, "speed": 8000}}',""
2.69,POSITION,'{"12": {"position": 1442, "speed": 8000}}',""
2.69,POSITION,'{"13": {"position": 1570, "speed": 8000}}',""
2.71,POSITION,'{"13": {"position": 1573, "speed": 8000}}',""
2.72,POSITION,'{"12": {"position": 1440, "speed": 8000}}',""
2.72,POSITION,'{"13": {"position": 1578, "speed": 8000}}',""
2.73,POSITION,'{"12": {"position": 1438, "speed": 8000}}',""
2.73,POSITION,'{"13": {"position": 1582, "speed": 8000}}',""
2.74,POSITION,'{"12": {"position": 1436, "speed": 8000}}',""
2.75,POSITION,'{"13": {"position": 1584, "speed": 8000}}',""
2.76,POSITION,'{"13": {"position": 1586, "speed": 8000}}',""
2.77,POSITION,'{"12": {"position": 1434, "speed": 8000}}',""
2.77,POSITION,'{"13": {"position": 1591, "speed": 8000}}',""
2.78,POSITION,'{"13": {"position": 1593, "speed": 8000}}',""
2.8,POSITION,'{"12": {"position": 1432, "speed": 8000}}',""
