time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1502, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1366, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 1500, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1368, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1373, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1376, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1384, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1390, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1401, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 1407, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1420, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1498, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1428, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1494, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1441, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1446, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1490, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1454, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1488, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1461, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1465, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1486, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1472, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1476, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1482, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1484, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1486, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1490, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1493, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1482, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1491, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1480, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1487, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1478, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1485, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1473, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1483, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1468, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1480, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1463, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1477, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1474, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 1459, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1470, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1467, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1458, "speed": 8000}}',""
0.69,POSITION,'{"13": {"position": 1453, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
