time,instruction,arg_1,arg_2
0.01,POSITION,'{"12": {"position": 1988, "speed": 8000}}',
0.01,POSITION,'{"13": {"position": 930, "speed": 8000}}',
0.02,POSITION,'{"12": {"position": 1984, "speed": 8000}}',
0.02,POSITION,'{"13": {"position": 932, "speed": 8000}}',
0.04,POSITION,'{"12": {"position": 1980, "speed": 8000}}',
0.04,POSITION,'{"13": {"position": 934, "speed": 8000}}',
0.05,POSITION,'{"12": {"position": 1977, "speed": 8000}}',
0.06,POSITION,'{"12": {"position": 1973, "speed": 8000}}',
0.07,POSITION,'{"13": {"position": 937, "speed": 8000}}',
0.08,POSITION,'{"12": {"position": 1969, "speed": 8000}}',
0.08,POSITION,'{"13": {"position": 940, "speed": 8000}}',
0.09,POSITION,'{"12": {"position": 1967, "speed": 8000}}',
0.09,POSITION,'{"13": {"position": 943, "speed": 8000}}',
0.1,POSITION,'{"12": {"position": 1963, "speed": 8000}}',
0.11,POSITION,'{"13": {"position": 951, "speed": 8000}}',
0.12,POSITION,'{"12": {"position": 1960, "speed": 8000}}',
0.12,POSITION,'{"13": {"position": 959, "speed": 8000}}',
0.13,POSITION,'{"12": {"position": 1958, "speed": 8000}}',
0.13,POSITION,'{"13": {"position": 962, "speed": 8000}}',
0.14,POSITION,'{"12": {"position": 1956, "speed": 8000}}',
0.14,POSITION,'{"13": {"position": 966, "speed": 8000}}',
0.16,POSITION,'{"12": {"position": 1953, "speed": 8000}}',
0.16,POSITION,'{"13": {"position": 971, "speed": 8000}}',
0.17,POSITION,'{"12": {"position": 1947, "speed": 8000}}',
0.17,POSITION,'{"13": {"position": 976, "speed": 8000}}',
0.18,POSITION,'{"12": {"position": 1944, "speed": 8000}}',
0.18,POSITION,'{"13": {"position": 978, "speed": 8000}}',
0.2,POSITION,'{"12": {"position": 1939, "speed": 8000}}',
0.2,POSITION,'{"13": {"position": 982, "speed": 8000}}',
0.21,POSITION,'{"12": {"position": 1935, "speed": 8000}}',
0.21,POSITION,'{"13": {"position": 985, "speed": 8000}}',
0.22,POSITION,'{"13": {"position": 987, "speed": 8000}}',
0.24,POSITION,'{"12": {"position": 1933, "speed": 8000}}',
0.24,POSITION,'{"13": {"position": 991, "speed": 8000}}',
