time,instruction,arg_1,arg_2
0.01,POSITION,'{"13": {"position": 1544, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1318, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1537, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1336, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1526, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1344, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1518, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 1361, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1503, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1379, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 1490, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 1388, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1484, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1404, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1468, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1421, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1452, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1430, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1444, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1451, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1426, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1473, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 1413, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1483, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1407, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 1500, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1398, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1514, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1393, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1520, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1529, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1391, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1539, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1399, "speed": 8000}}',""
0.25,POSITION,'{"12": {"position": 1544, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1404, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1553, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1412, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1557, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1415, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1565, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1420, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1570, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1579, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1422, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1582, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1589, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1596, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1419, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1599, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1417, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1608, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1415, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1613, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1623, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1406, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1633, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1397, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1637, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1392, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1645, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1384, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1650, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1379, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1377, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1653, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1374, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1656, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1371, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1658, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1369, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1656, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1650, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 1647, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1640, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1632, "speed": 8000}}',""
0.7,POSITION,'{"12": {"position": 1627, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1620, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1373, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1616, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1375, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1609, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1383, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1600, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1396, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1596, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1402, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1586, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1420, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 1575, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1438, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 1570, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1446, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 1558, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 1459, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 1551, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1466, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1538, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 1481, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 1531, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1488, "speed": 8000}}',""
0.86,POSITION,'{"12": {"position": 1512, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1504, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1491, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 1520, "speed": 8000}}',""
0.89,POSITION,'{"12": {"position": 1480, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 1526, "speed": 8000}}',""
0.9,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
0.9,POSITION,'{"13": {"position": 1538, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 1444, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 1545, "speed": 8000}}',""
0.93,POSITION,'{"12": {"position": 1423, "speed": 8000}}',""
0.93,POSITION,'{"13": {"position": 1559, "speed": 8000}}',""
0.94,POSITION,'{"12": {"position": 1406, "speed": 8000}}',""
0.94,POSITION,'{"13": {"position": 1571, "speed": 8000}}',""
0.96,POSITION,'{"12": {"position": 1400, "speed": 8000}}',""
0.96,POSITION,'{"13": {"position": 1577, "speed": 8000}}',""
0.97,POSITION,'{"12": {"position": 1387, "speed": 8000}}',""
0.97,POSITION,'{"13": {"position": 1588, "speed": 8000}}',""
0.98,POSITION,'{"12": {"position": 1372, "speed": 8000}}',""
0.98,POSITION,'{"13": {"position": 1603, "speed": 8000}}',""
1.0,POSITION,'{"12": {"position": 1362, "speed": 8000}}',""
1.0,POSITION,'{"13": {"position": 1610, "speed": 8000}}',""
1.01,POSITION,'{"12": {"position": 1345, "speed": 8000}}',""
1.01,POSITION,'{"13": {"position": 1628, "speed": 8000}}',""
1.02,POSITION,'{"12": {"position": 1327, "speed": 8000}}',""
1.02,POSITION,'{"13": {"position": 1650, "speed": 8000}}',""
1.04,POSITION,'{"12": {"position": 1316, "speed": 8000}}',""
1.04,POSITION,'{"13": {"position": 1660, "speed": 8000}}',""
1.05,POSITION,'{"12": {"position": 1295, "speed": 8000}}',""
1.05,POSITION,'{"13": {"position": 1678, "speed": 8000}}',""
