time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1012, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1594, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1006, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1587, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 995, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1574, "speed": 8000}}',""
0.05,POSITION,'{"12": {"position": 985, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1565, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 977, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1559, "speed": 8000}}',""
0.07,POSITION,'{"12": {"position": 973, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1556, "speed": 8000}}',""
0.09,POSITION,'{"12": {"position": 965, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1551, "speed": 8000}}',""
0.1,POSITION,'{"12": {"position": 950, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1549, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 939, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1546, "speed": 8000}}',""
0.13,POSITION,'{"12": {"position": 917, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 893, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 884, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 871, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 866, "speed": 8000}}',""
0.19,POSITION,'{"12": {"position": 859, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1550, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 854, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1561, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1568, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 850, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1583, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1601, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1609, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1628, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 847, "speed": 8000}}',""
0.28,POSITION,'{"13": {"position": 1638, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1658, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1675, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1685, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 844, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1701, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1707, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 842, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1714, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 840, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1725, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 838, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1735, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 836, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1740, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 828, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1748, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 800, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1756, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1765, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1770, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1782, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1787, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1798, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1804, "speed": 8000}}',""
