time,instruction,arg_1,arg_2
0.53,POSITION,'{"0": {"position": 2181, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 2173, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 2143, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 2117, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1942, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1915, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1740, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1698, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1680, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1664, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1644, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1665, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1686, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1731, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1773, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1786, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1762, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1545, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1292, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1268, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1064, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1044, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1018, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1038, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1351, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1609, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1785, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1783, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1767, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1584, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 1431, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1269, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1240, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1219, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1183, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1169, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1162, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1172, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1331, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1365, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1381, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1404, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1386, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1245, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1084, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1068, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 886, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 878, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 867, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 873, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 915, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1091, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1097, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1104, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1094, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 904, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 803, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 816, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 1060, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 1340, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 1363, "speed": 8000}}',""
1.41,POSITION,'{"0": {"position": 1538, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 1707, "speed": 8000}}',""
1.43,POSITION,'{"0": {"position": 1745, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 1903, "speed": 8000}}',""
1.46,POSITION,'{"0": {"position": 2065, "speed": 8000}}',""
1.47,POSITION,'{"0": {"position": 2077, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.56,POSITION,'{"0": {"position": 2178, "speed": 8000}}',""
1.57,POSITION,'{"0": {"position": 2154, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 1891, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 1593, "speed": 8000}}',""
1.61,POSITION,'{"0": {"position": 1301, "speed": 8000}}',""
1.62,POSITION,'{"0": {"position": 1122, "speed": 8000}}',""
1.63,POSITION,'{"0": {"position": 1095, "speed": 8000}}',""
1.65,POSITION,'{"0": {"position": 1087, "speed": 8000}}',""
1.66,POSITION,'{"0": {"position": 1106, "speed": 8000}}',""
1.67,POSITION,'{"0": {"position": 1133, "speed": 8000}}',""
1.68,POSITION,'{"0": {"position": 1332, "speed": 8000}}',""
1.7,POSITION,'{"0": {"position": 1525, "speed": 8000}}',""
1.71,POSITION,'{"0": {"position": 1554, "speed": 8000}}',""
1.72,POSITION,'{"0": {"position": 1568, "speed": 8000}}',""
1.74,POSITION,'{"0": {"position": 1564, "speed": 8000}}',""
1.75,POSITION,'{"0": {"position": 1540, "speed": 8000}}',""
1.76,POSITION,'{"0": {"position": 1340, "speed": 8000}}',""
1.77,POSITION,'{"0": {"position": 1123, "speed": 8000}}',""
1.79,POSITION,'{"0": {"position": 974, "speed": 8000}}',""
1.8,POSITION,'{"0": {"position": 962, "speed": 8000}}',""
1.81,POSITION,'{"0": {"position": 960, "speed": 8000}}',""
1.82,POSITION,'{"0": {"position": 989, "speed": 8000}}',""
1.84,POSITION,'{"0": {"position": 1135, "speed": 8000}}',""
1.85,POSITION,'{"0": {"position": 1154, "speed": 8000}}',""
1.86,POSITION,'{"0": {"position": 1162, "speed": 8000}}',""
1.87,POSITION,'{"0": {"position": 1156, "speed": 8000}}',""
1.88,POSITION,'{"0": {"position": 1133, "speed": 8000}}',""
1.9,POSITION,'{"0": {"position": 963, "speed": 8000}}',""
1.91,POSITION,'{"0": {"position": 938, "speed": 8000}}',""
1.92,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
