time,instruction,arg_1,arg_2
0.0,POSITION,'{"0": {"position": 2182, "speed": 8000}}',""
0.01,POSITION,'{"0": {"position": 2185, "speed": 8000}}',""
0.04,POSITION,'{"0": {"position": 2188, "speed": 8000}}',""
0.05,POSITION,'{"0": {"position": 2190, "speed": 8000}}',""
0.06,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 2186, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 2179, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 2153, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 2137, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 2110, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 2091, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 2084, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 2079, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 2076, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 2084, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 2090, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 2101, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 2106, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 2109, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 2104, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 2092, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 2085, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 2058, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 2034, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 2023, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 2011, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1990, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1980, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1963, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1952, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1949, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1952, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1962, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1967, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1979, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1985, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1995, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1999, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 2007, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 2011, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 2024, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 2031, "speed": 8000}}',""
1.33,POSITION,'{"0": {"position": 2045, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 2055, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 2059, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 2065, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 2067, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 2070, "speed": 8000}}',""
1.41,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 2076, "speed": 8000}}',""
1.44,POSITION,'{"0": {"position": 2082, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 2086, "speed": 8000}}',""
1.46,POSITION,'{"0": {"position": 2095, "speed": 8000}}',""
1.47,POSITION,'{"0": {"position": 2100, "speed": 8000}}',""
1.49,POSITION,'{"0": {"position": 2113, "speed": 8000}}',""
1.5,POSITION,'{"0": {"position": 2121, "speed": 8000}}',""
1.51,POSITION,'{"0": {"position": 2137, "speed": 8000}}',""
1.52,POSITION,'{"0": {"position": 2144, "speed": 8000}}',""
1.53,POSITION,'{"0": {"position": 2158, "speed": 8000}}',""
1.55,POSITION,'{"0": {"position": 2164, "speed": 8000}}',""
1.56,POSITION,'{"0": {"position": 2172, "speed": 8000}}',""
1.57,POSITION,'{"0": {"position": 2175, "speed": 8000}}',""
1.58,POSITION,'{"0": {"position": 2177, "speed": 8000}}',""
1.59,POSITION,'{"0": {"position": 2179, "speed": 8000}}',""
1.61,POSITION,'{"0": {"position": 2182, "speed": 8000}}',""
1.63,POSITION,'{"0": {"position": 2184, "speed": 8000}}',""
1.8,POSITION,'{"0": {"position": 2186, "speed": 8000}}',""
1.82,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
