time,instruction,arg_1,arg_2
0.07,POSITION,'{"12": {"position": 1318, "speed": 8000}}',""
0.14,POSITION,'{"12": {"position": 1316, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1681, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1313, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1311, "speed": 8000}}',""
0.28,POSITION,'{"12": {"position": 1309, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1307, "speed": 8000}}',""
0.32,POSITION,'{"12": {"position": 1303, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1301, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1297, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1293, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1679, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1291, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1287, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1284, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1280, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1277, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1274, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1272, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1270, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1268, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1265, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1263, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1261, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1259, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1256, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1254, "speed": 8000}}',""
0.66,POSITION,'{"13": {"position": 1677, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1251, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1675, "speed": 8000}}',""
0.74,POSITION,'{"13": {"position": 1669, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1253, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1665, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1262, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1654, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1269, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1646, "speed": 8000}}',""
0.79,POSITION,'{"12": {"position": 1288, "speed": 8000}}',""
0.79,POSITION,'{"13": {"position": 1626, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 1304, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1613, "speed": 8000}}',""
0.81,POSITION,'{"12": {"position": 1319, "speed": 8000}}',""
0.81,POSITION,'{"13": {"position": 1600, "speed": 8000}}',""
0.83,POSITION,'{"12": {"position": 1354, "speed": 8000}}',""
0.83,POSITION,'{"13": {"position": 1571, "speed": 8000}}',""
0.84,POSITION,'{"12": {"position": 1397, "speed": 8000}}',""
0.84,POSITION,'{"13": {"position": 1539, "speed": 8000}}',""
0.85,POSITION,'{"12": {"position": 1451, "speed": 8000}}',""
0.85,POSITION,'{"13": {"position": 1508, "speed": 8000}}',""
0.87,POSITION,'{"12": {"position": 1479, "speed": 8000}}',""
0.87,POSITION,'{"13": {"position": 1489, "speed": 8000}}',""
0.88,POSITION,'{"12": {"position": 1642, "speed": 8000}}',""
0.88,POSITION,'{"13": {"position": 1445, "speed": 8000}}',""
0.89,POSITION,'{"12": {"position": 1690, "speed": 8000}}',""
0.89,POSITION,'{"13": {"position": 1292, "speed": 8000}}',""
0.91,POSITION,'{"12": {"position": 1862, "speed": 8000}}',""
0.91,POSITION,'{"13": {"position": 1279, "speed": 8000}}',""
0.92,POSITION,'{"12": {"position": 1882, "speed": 8000}}',""
0.92,POSITION,'{"13": {"position": 1248, "speed": 8000}}',""
0.93,POSITION,'{"12": {"position": 1898, "speed": 8000}}',""
0.93,POSITION,'{"13": {"position": 1231, "speed": 8000}}',""
0.95,POSITION,'{"12": {"position": 1938, "speed": 8000}}',""
0.95,POSITION,'{"13": {"position": 1192, "speed": 8000}}',""
0.96,POSITION,'{"12": {"position": 1978, "speed": 8000}}',""
0.96,POSITION,'{"13": {"position": 1155, "speed": 8000}}',""
0.97,POSITION,'{"12": {"position": 1996, "speed": 8000}}',""
0.97,POSITION,'{"13": {"position": 1134, "speed": 8000}}',""
0.98,POSITION,'{"12": {"position": 2025, "speed": 8000}}',""
0.99,POSITION,'{"13": {"position": 1100, "speed": 8000}}',""
1.0,POSITION,'{"12": {"position": 2045, "speed": 8000}}',""
1.0,POSITION,'{"13": {"position": 1070, "speed": 8000}}',""
1.01,POSITION,'{"12": {"position": 2060, "speed": 8000}}',""
1.03,POSITION,'{"13": {"position": 1047, "speed": 8000}}',""
1.04,POSITION,'{"12": {"position": 2075, "speed": 8000}}',""
1.04,POSITION,'{"13": {"position": 1020, "speed": 8000}}',""
1.05,POSITION,'{"12": {"position": 2078, "speed": 8000}}',""
1.05,POSITION,'{"13": {"position": 1014, "speed": 8000}}',""
1.06,POSITION,'{"12": {"position": 2083, "speed": 8000}}',""
1.07,POSITION,'{"13": {"position": 1003, "speed": 8000}}',""
1.08,POSITION,'{"13": {"position": 997, "speed": 8000}}',""
1.09,POSITION,'{"12": {"position": 2086, "speed": 8000}}',""
1.09,POSITION,'{"13": {"position": 979, "speed": 8000}}',""
1.1,POSITION,'{"13": {"position": 970, "speed": 8000}}',""
1.11,POSITION,'{"12": {"position": 2089, "speed": 8000}}',""
1.11,POSITION,'{"13": {"position": 954, "speed": 8000}}',""
1.13,POSITION,'{"13": {"position": 942, "speed": 8000}}',""
1.14,POSITION,'{"13": {"position": 938, "speed": 8000}}',""
1.15,POSITION,'{"13": {"position": 934, "speed": 8000}}',""
1.16,POSITION,'{"13": {"position": 929, "speed": 8000}}',""
1.19,POSITION,'{"13": {"position": 926, "speed": 8000}}',""
1.2,POSITION,'{"13": {"position": 924, "speed": 8000}}',""
1.23,POSITION,'{"13": {"position": 922, "speed": 8000}}',""
1.26,POSITION,'{"13": {"position": 936, "speed": 8000}}',""
1.27,POSITION,'{"13": {"position": 947, "speed": 8000}}',""
1.28,POSITION,'{"13": {"position": 972, "speed": 8000}}',""
1.29,POSITION,'{"13": {"position": 985, "speed": 8000}}',""
1.31,POSITION,'{"13": {"position": 1006, "speed": 8000}}',""
1.32,POSITION,'{"13": {"position": 1013, "speed": 8000}}',""
1.33,POSITION,'{"13": {"position": 1019, "speed": 8000}}',""
1.34,POSITION,'{"13": {"position": 1028, "speed": 8000}}',""
1.36,POSITION,'{"12": {"position": 2087, "speed": 8000}}',""
1.36,POSITION,'{"13": {"position": 1030, "speed": 8000}}',""
1.37,POSITION,'{"13": {"position": 1035, "speed": 8000}}',""
1.38,POSITION,'{"12": {"position": 2085, "speed": 8000}}',""
1.39,POSITION,'{"12": {"position": 2083, "speed": 8000}}',""
1.4,POSITION,'{"13": {"position": 1038, "speed": 8000}}',""
1.41,POSITION,'{"12": {"position": 2081, "speed": 8000}}',""
1.43,POSITION,'{"12": {"position": 2079, "speed": 8000}}',""
1.43,POSITION,'{"13": {"position": 1036, "speed": 8000}}',""
1.44,POSITION,'{"13": {"position": 1032, "speed": 8000}}',""
1.46,POSITION,'{"12": {"position": 2076, "speed": 8000}}',""
1.46,POSITION,'{"13": {"position": 1025, "speed": 8000}}',""
1.47,POSITION,'{"12": {"position": 2074, "speed": 8000}}',""
1.47,POSITION,'{"13": {"position": 1019, "speed": 8000}}',""
1.48,POSITION,'{"13": {"position": 1017, "speed": 8000}}',""
1.5,POSITION,'{"13": {"position": 1014, "speed": 8000}}',""
1.51,POSITION,'{"12": {"position": 2071, "speed": 8000}}',""
1.53,POSITION,'{"12": {"position": 2069, "speed": 8000}}',""
1.53,POSITION,'{"13": {"position": 1011, "speed": 8000}}',""
1.54,POSITION,'{"12": {"position": 2066, "speed": 8000}}',""
1.54,POSITION,'{"13": {"position": 1008, "speed": 8000}}',""
