time,instruction,arg_1,arg_2
0.0,POSITION,'{"13": {"position": 1090, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1093, "speed": 8000}}',""
0.03,POSITION,'{"13": {"position": 1099, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 1101, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1106, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 1108, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 1114, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1119, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 1122, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 1125, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1127, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1924, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1125, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1122, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1120, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 1118, "speed": 8000}}',""
0.32,POSITION,'{"13": {"position": 1121, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1124, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1922, "speed": 8000}}',""
0.35,POSITION,'{"13": {"position": 1134, "speed": 8000}}',""
0.36,POSITION,'{"12": {"position": 1917, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1144, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1907, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1155, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1901, "speed": 8000}}',""
0.39,POSITION,'{"13": {"position": 1162, "speed": 8000}}',""
0.4,POSITION,'{"12": {"position": 1884, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1175, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1857, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1189, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1843, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1198, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1819, "speed": 8000}}',""
0.44,POSITION,'{"13": {"position": 1220, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1807, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1231, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1783, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1256, "speed": 8000}}',""
0.48,POSITION,'{"12": {"position": 1757, "speed": 8000}}',""
0.48,POSITION,'{"13": {"position": 1285, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1745, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1301, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1716, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1324, "speed": 8000}}',""
0.52,POSITION,'{"12": {"position": 1687, "speed": 8000}}',""
0.52,POSITION,'{"13": {"position": 1344, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1671, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1353, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1642, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 1374, "speed": 8000}}',""
0.56,POSITION,'{"12": {"position": 1629, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1383, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1607, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1401, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1589, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1419, "speed": 8000}}',""
0.6,POSITION,'{"12": {"position": 1581, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 1428, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 1564, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1445, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1557, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1452, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1542, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 1467, "speed": 8000}}',""
0.65,POSITION,'{"12": {"position": 1527, "speed": 8000}}',""
0.65,POSITION,'{"13": {"position": 1486, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1519, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 1495, "speed": 8000}}',""
0.68,POSITION,'{"12": {"position": 1504, "speed": 8000}}',""
0.68,POSITION,'{"13": {"position": 1513, "speed": 8000}}',""
0.69,POSITION,'{"12": {"position": 1490, "speed": 8000}}',""
0.7,POSITION,'{"13": {"position": 1528, "speed": 8000}}',""
0.71,POSITION,'{"12": {"position": 1480, "speed": 8000}}',""
0.71,POSITION,'{"13": {"position": 1543, "speed": 8000}}',""
0.72,POSITION,'{"12": {"position": 1476, "speed": 8000}}',""
0.72,POSITION,'{"13": {"position": 1552, "speed": 8000}}',""
0.73,POSITION,'{"12": {"position": 1469, "speed": 8000}}',""
0.73,POSITION,'{"13": {"position": 1566, "speed": 8000}}',""
0.75,POSITION,'{"12": {"position": 1466, "speed": 8000}}',""
0.75,POSITION,'{"13": {"position": 1571, "speed": 8000}}',""
0.76,POSITION,'{"12": {"position": 1461, "speed": 8000}}',""
0.76,POSITION,'{"13": {"position": 1579, "speed": 8000}}',""
0.77,POSITION,'{"12": {"position": 1459, "speed": 8000}}',""
0.77,POSITION,'{"13": {"position": 1582, "speed": 8000}}',""
0.78,POSITION,'{"12": {"position": 1456, "speed": 8000}}',""
0.78,POSITION,'{"13": {"position": 1588, "speed": 8000}}',""
0.8,POSITION,'{"12": {"position": 1452, "speed": 8000}}',""
0.8,POSITION,'{"13": {"position": 1598, "speed": 8000}}',""
