time,instruction,arg_1,arg_2
0.41,POSITION,'{"0": {"position": 2189, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 2185, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 2157, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1933, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1909, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1686, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 1505, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 1463, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 1294, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 1284, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 1264, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1249, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 1245, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1250, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 1261, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1434, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
0.63,POSITION,'{"0": {"position": 1488, "speed": 8000}}',""
0.64,POSITION,'{"0": {"position": 1513, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1536, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1573, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1591, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1631, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1681, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1838, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1864, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1883, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1919, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1933, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1953, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1966, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1976, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1981, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1988, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1979, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 1959, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1800, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1639, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1634, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1625, "speed": 8000}}',""
0.92,POSITION,'{"0": {"position": 1609, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1637, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1783, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1813, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1833, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1869, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1852, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1633, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1600, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1575, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1530, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1506, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1509, "speed": 8000}}',""
1.12,POSITION,'{"0": {"position": 1526, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1533, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1522, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1484, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1457, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1300, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1280, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1262, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1224, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1186, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1171, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1151, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1173, "speed": 8000}}',""
1.29,POSITION,'{"0": {"position": 1198, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1386, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1411, "speed": 8000}}',""
1.33,POSITION,'{"0": {"position": 1573, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 1587, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 1639, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 1795, "speed": 8000}}',""
1.38,POSITION,'{"0": {"position": 1810, "speed": 8000}}',""
1.39,POSITION,'{"0": {"position": 1983, "speed": 8000}}',""
1.4,POSITION,'{"0": {"position": 1990, "speed": 8000}}',""
1.42,POSITION,'{"0": {"position": 2023, "speed": 8000}}',""
1.43,POSITION,'{"0": {"position": 2043, "speed": 8000}}',""
1.44,POSITION,'{"0": {"position": 2065, "speed": 8000}}',""
1.45,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
