time,instruction,arg_1,arg_2
0.25,POSITION,'{"0": {"position": 2154, "speed": 8000}}',""
0.26,POSITION,'{"0": {"position": 1961, "speed": 8000}}',""
0.27,POSITION,'{"0": {"position": 1937, "speed": 8000}}',""
0.28,POSITION,'{"0": {"position": 1733, "speed": 8000}}',""
0.3,POSITION,'{"0": {"position": 1579, "speed": 8000}}',""
0.31,POSITION,'{"0": {"position": 1565, "speed": 8000}}',""
0.32,POSITION,'{"0": {"position": 1537, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 1529, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 1533, "speed": 8000}}',""
0.36,POSITION,'{"0": {"position": 1564, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 1707, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 1734, "speed": 8000}}',""
0.4,POSITION,'{"0": {"position": 1758, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 1911, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 1926, "speed": 8000}}',""
0.44,POSITION,'{"0": {"position": 1968, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1991, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 2042, "speed": 8000}}',""
0.48,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
