time,instruction,arg_1,arg_2
0.0,POSITION,'{"12": {"position": 1523, "speed": 8000}}',""
0.0,POSITION,'{"13": {"position": 1563, "speed": 8000}}',""
0.02,POSITION,'{"12": {"position": 1530, "speed": 8000}}',""
0.02,POSITION,'{"13": {"position": 1558, "speed": 8000}}',""
0.03,POSITION,'{"12": {"position": 1533, "speed": 8000}}',""
0.04,POSITION,'{"12": {"position": 1536, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 1555, "speed": 8000}}',""
0.06,POSITION,'{"12": {"position": 1539, "speed": 8000}}',""
0.06,POSITION,'{"13": {"position": 1553, "speed": 8000}}',""
0.08,POSITION,'{"12": {"position": 1542, "speed": 8000}}',""
0.1,POSITION,'{"13": {"position": 1551, "speed": 8000}}',""
0.11,POSITION,'{"12": {"position": 1544, "speed": 8000}}',""
0.12,POSITION,'{"12": {"position": 1548, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 1544, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 1539, "speed": 8000}}',""
0.15,POSITION,'{"12": {"position": 1554, "speed": 8000}}',""
0.15,POSITION,'{"13": {"position": 1527, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1558, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 1512, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1562, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 1499, "speed": 8000}}',""
0.19,POSITION,'{"13": {"position": 1494, "speed": 8000}}',""
0.21,POSITION,'{"12": {"position": 1566, "speed": 8000}}',""
0.21,POSITION,'{"13": {"position": 1487, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1569, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 1483, "speed": 8000}}',""
0.23,POSITION,'{"12": {"position": 1572, "speed": 8000}}',""
0.23,POSITION,'{"13": {"position": 1476, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1575, "speed": 8000}}',""
0.25,POSITION,'{"13": {"position": 1463, "speed": 8000}}',""
0.26,POSITION,'{"13": {"position": 1456, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1581, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 1443, "speed": 8000}}',""
0.29,POSITION,'{"12": {"position": 1586, "speed": 8000}}',""
0.29,POSITION,'{"13": {"position": 1432, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1590, "speed": 8000}}',""
0.3,POSITION,'{"13": {"position": 1422, "speed": 8000}}',""
0.31,POSITION,'{"13": {"position": 1417, "speed": 8000}}',""
0.33,POSITION,'{"12": {"position": 1594, "speed": 8000}}',""
0.33,POSITION,'{"13": {"position": 1407, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1597, "speed": 8000}}',""
0.34,POSITION,'{"13": {"position": 1398, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1600, "speed": 8000}}',""
0.36,POSITION,'{"13": {"position": 1393, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1602, "speed": 8000}}',""
0.37,POSITION,'{"13": {"position": 1383, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1604, "speed": 8000}}',""
0.38,POSITION,'{"13": {"position": 1373, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 1366, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1612, "speed": 8000}}',""
0.41,POSITION,'{"13": {"position": 1351, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1615, "speed": 8000}}',""
0.42,POSITION,'{"13": {"position": 1343, "speed": 8000}}',""
0.43,POSITION,'{"12": {"position": 1622, "speed": 8000}}',""
0.43,POSITION,'{"13": {"position": 1326, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1625, "speed": 8000}}',""
0.45,POSITION,'{"13": {"position": 1318, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1633, "speed": 8000}}',""
0.46,POSITION,'{"13": {"position": 1302, "speed": 8000}}',""
0.47,POSITION,'{"12": {"position": 1641, "speed": 8000}}',""
0.47,POSITION,'{"13": {"position": 1286, "speed": 8000}}',""
0.49,POSITION,'{"12": {"position": 1648, "speed": 8000}}',""
0.49,POSITION,'{"13": {"position": 1269, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1652, "speed": 8000}}',""
0.5,POSITION,'{"13": {"position": 1259, "speed": 8000}}',""
0.51,POSITION,'{"12": {"position": 1664, "speed": 8000}}',""
0.51,POSITION,'{"13": {"position": 1241, "speed": 8000}}',""
0.53,POSITION,'{"12": {"position": 1676, "speed": 8000}}',""
0.53,POSITION,'{"13": {"position": 1226, "speed": 8000}}',""
0.54,POSITION,'{"12": {"position": 1681, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 1219, "speed": 8000}}',""
0.55,POSITION,'{"12": {"position": 1691, "speed": 8000}}',""
0.56,POSITION,'{"13": {"position": 1206, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1703, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 1194, "speed": 8000}}',""
0.58,POSITION,'{"12": {"position": 1709, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 1189, "speed": 8000}}',""
0.59,POSITION,'{"12": {"position": 1718, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 1182, "speed": 8000}}',""
0.61,POSITION,'{"12": {"position": 1723, "speed": 8000}}',""
0.61,POSITION,'{"13": {"position": 1179, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1732, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 1172, "speed": 8000}}',""
0.63,POSITION,'{"12": {"position": 1736, "speed": 8000}}',""
0.63,POSITION,'{"13": {"position": 1167, "speed": 8000}}',""
