time,instruction,arg_1,arg_2
0.0,POSITION,'{"5": {"position": 855, "speed": 8000}}',""
0.02,POSITION,'{"7": {"position": 1496, "speed": 8000}, "6": {"position": 1567, "speed": 8000}}',""
0.02,POSITION,'{"5": {"position": 853, "speed": 8000}}',""
0.04,POSITION,'{"5": {"position": 849, "speed": 8000}}',""
0.05,POSITION,'{"5": {"position": 847, "speed": 8000}}',""
0.06,POSITION,'{"5": {"position": 845, "speed": 8000}}',""
0.09,POSITION,'{"5": {"position": 843, "speed": 8000}}',""
0.17,POSITION,'{"5": {"position": 841, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 838, "speed": 8000}}',""
0.31,POSITION,'{"5": {"position": 835, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 832, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 828, "speed": 8000}}',""
0.36,POSITION,'{"7": {"position": 1494, "speed": 8000}, "6": {"position": 1568, "speed": 8000}}',""
0.36,POSITION,'{"5": {"position": 826, "speed": 8000}}',""
0.37,POSITION,'{"7": {"position": 1493, "speed": 8000}, "6": {"position": 1570, "speed": 8000}}',""
0.37,POSITION,'{"5": {"position": 820, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 816, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 800, "speed": 8000}}',""
0.41,POSITION,'{"7": {"position": 1491, "speed": 8000}, "6": {"position": 1572, "speed": 8000}}',""
0.43,POSITION,'{"7": {"position": 1489, "speed": 8000}, "6": {"position": 1575, "speed": 8000}}',""
0.44,POSITION,'{"7": {"position": 1487, "speed": 8000}, "6": {"position": 1578, "speed": 8000}}',""
0.47,POSITION,'{"7": {"position": 1484, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',""
0.49,POSITION,'{"7": {"position": 1481, "speed": 8000}, "6": {"position": 1585, "speed": 8000}}',""
0.51,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1587, "speed": 8000}}',""
0.54,POSITION,'{"7": {"position": 1477, "speed": 8000}, "6": {"position": 1590, "speed": 8000}}',""
0.57,POSITION,'{"7": {"position": 1475, "speed": 8000}, "6": {"position": 1593, "speed": 8000}}',""
0.59,POSITION,'{"7": {"position": 1473, "speed": 8000}, "6": {"position": 1595, "speed": 8000}}',""
0.65,POSITION,'{"7": {"position": 1472, "speed": 8000}, "6": {"position": 1597, "speed": 8000}}',""
0.7,POSITION,'{"7": {"position": 1470, "speed": 8000}, "6": {"position": 1599, "speed": 8000}}',""
0.7,POSITION,'{"5": {"position": 807, "speed": 8000}}',""
0.71,POSITION,'{"5": {"position": 812, "speed": 8000}}',""
0.72,POSITION,'{"7": {"position": 1468, "speed": 8000}, "6": {"position": 1601, "speed": 8000}}',""
0.72,POSITION,'{"5": {"position": 829, "speed": 8000}}',""
0.73,POSITION,'{"5": {"position": 857, "speed": 8000}}',""
0.75,POSITION,'{"5": {"position": 873, "speed": 8000}}',""
0.76,POSITION,'{"7": {"position": 1467, "speed": 8000}, "6": {"position": 1603, "speed": 8000}}',""
0.76,POSITION,'{"5": {"position": 911, "speed": 8000}}',""
0.77,POSITION,'{"5": {"position": 932, "speed": 8000}}',""
0.78,POSITION,'{"5": {"position": 982, "speed": 8000}}',""
0.8,POSITION,'{"5": {"position": 1007, "speed": 8000}}',""
0.81,POSITION,'{"5": {"position": 1054, "speed": 8000}}',""
0.82,POSITION,'{"5": {"position": 1073, "speed": 8000}}',""
0.83,POSITION,'{"7": {"position": 1465, "speed": 8000}, "6": {"position": 1605, "speed": 8000}}',""
0.83,POSITION,'{"5": {"position": 1106, "speed": 8000}}',""
0.85,POSITION,'{"7": {"position": 1464, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',""
0.85,POSITION,'{"5": {"position": 1133, "speed": 8000}}',""
0.86,POSITION,'{"5": {"position": 1145, "speed": 8000}}',""
0.87,POSITION,'{"7": {"position": 1462, "speed": 8000}, "6": {"position": 1609, "speed": 8000}}',""
0.87,POSITION,'{"5": {"position": 1162, "speed": 8000}}',""
0.88,POSITION,'{"5": {"position": 1168, "speed": 8000}}',""
0.9,POSITION,'{"5": {"position": 1173, "speed": 8000}}',""
0.91,POSITION,'{"7": {"position": 1461, "speed": 8000}, "6": {"position": 1611, "speed": 8000}}',""
0.91,POSITION,'{"5": {"position": 1181, "speed": 8000}}',""
0.92,POSITION,'{"5": {"position": 1185, "speed": 8000}}',""
0.95,POSITION,'{"5": {"position": 1187, "speed": 8000}}',""
0.97,POSITION,'{"5": {"position": 1189, "speed": 8000}}',""
0.99,POSITION,'{"5": {"position": 1192, "speed": 8000}}',""
1.0,POSITION,'{"5": {"position": 1199, "speed": 8000}}',""
1.02,POSITION,'{"5": {"position": 1208, "speed": 8000}}',""
1.03,POSITION,'{"5": {"position": 1211, "speed": 8000}}',""
1.04,POSITION,'{"5": {"position": 1216, "speed": 8000}}',""
1.07,POSITION,'{"5": {"position": 1219, "speed": 8000}}',""
1.11,POSITION,'{"5": {"position": 1217, "speed": 8000}}',""
1.12,POSITION,'{"5": {"position": 1212, "speed": 8000}}',""
1.14,POSITION,'{"5": {"position": 1209, "speed": 8000}}',""
1.15,POSITION,'{"5": {"position": 1207, "speed": 8000}}',""
1.16,POSITION,'{"5": {"position": 1203, "speed": 8000}}',""
1.17,POSITION,'{"5": {"position": 1199, "speed": 8000}}',""
1.21,POSITION,'{"5": {"position": 1196, "speed": 8000}}',""
1.23,POSITION,'{"7": {"position": 1459, "speed": 8000}, "6": {"position": 1612, "speed": 8000}}',""
1.25,POSITION,'{"7": {"position": 1458, "speed": 8000}, "6": {"position": 1614, "speed": 8000}}',""
1.28,POSITION,'{"7": {"position": 1456, "speed": 8000}, "6": {"position": 1616, "speed": 8000}}',""
1.31,POSITION,'{"7": {"position": 1455, "speed": 8000}, "6": {"position": 1618, "speed": 8000}}',""
1.33,POSITION,'{"5": {"position": 1200, "speed": 8000}}',""
1.35,POSITION,'{"5": {"position": 1202, "speed": 8000}}',""
1.36,POSITION,'{"7": {"position": 1453, "speed": 8000}, "6": {"position": 1620, "speed": 8000}}',""
1.36,POSITION,'{"5": {"position": 1209, "speed": 8000}}',""
1.37,POSITION,'{"5": {"position": 1213, "speed": 8000}}',""
1.38,POSITION,'{"5": {"position": 1222, "speed": 8000}}',""
1.39,POSITION,'{"5": {"position": 1227, "speed": 8000}}',""
1.41,POSITION,'{"5": {"position": 1233, "speed": 8000}}',""
1.42,POSITION,'{"5": {"position": 1252, "speed": 8000}}',""
1.43,POSITION,'{"5": {"position": 1265, "speed": 8000}}',""
1.44,POSITION,'{"5": {"position": 1306, "speed": 8000}}',""
1.45,POSITION,'{"5": {"position": 1330, "speed": 8000}}',""
1.47,POSITION,'{"5": {"position": 1375, "speed": 8000}}',""
1.48,POSITION,'{"7": {"position": 1452, "speed": 8000}, "6": {"position": 1622, "speed": 8000}}',""
1.48,POSITION,'{"5": {"position": 1395, "speed": 8000}}',""
1.49,POSITION,'{"5": {"position": 1431, "speed": 8000}}',""
1.51,POSITION,'{"5": {"position": 1460, "speed": 8000}}',""
1.52,POSITION,'{"5": {"position": 1472, "speed": 8000}}',""
1.53,POSITION,'{"5": {"position": 1491, "speed": 8000}}',""
