time,instruction,arg_1,arg_2
0.0,POSITION,'{"5": {"position": 944, "speed": 8000}}',""
0.02,POSITION,'{"5": {"position": 946, "speed": 8000}}',""
0.08,POSITION,'{"5": {"position": 948, "speed": 8000}}',""
0.3,POSITION,'{"5": {"position": 954, "speed": 8000}}',""
0.32,POSITION,'{"5": {"position": 956, "speed": 8000}}',""
0.33,POSITION,'{"5": {"position": 962, "speed": 8000}}',""
0.34,POSITION,'{"5": {"position": 965, "speed": 8000}}',""
0.36,POSITION,'{"5": {"position": 970, "speed": 8000}}',""
0.37,POSITION,'{"5": {"position": 972, "speed": 8000}}',""
0.38,POSITION,'{"5": {"position": 975, "speed": 8000}}',""
0.4,POSITION,'{"5": {"position": 981, "speed": 8000}}',""
0.42,POSITION,'{"5": {"position": 984, "speed": 8000}}',""
0.43,POSITION,'{"5": {"position": 990, "speed": 8000}}',""
0.44,POSITION,'{"5": {"position": 994, "speed": 8000}}',""
0.45,POSITION,'{"5": {"position": 999, "speed": 8000}}',""
0.46,POSITION,'{"5": {"position": 1001, "speed": 8000}}',""
0.48,POSITION,'{"5": {"position": 1004, "speed": 8000}}',""
0.5,POSITION,'{"5": {"position": 1006, "speed": 8000}}',""
0.52,POSITION,'{"5": {"position": 1009, "speed": 8000}}',""
0.54,POSITION,'{"5": {"position": 1011, "speed": 8000}}',""
0.55,POSITION,'{"5": {"position": 1017, "speed": 8000}}',""
0.56,POSITION,'{"5": {"position": 1020, "speed": 8000}}',""
0.57,POSITION,'{"5": {"position": 1026, "speed": 8000}}',""
0.58,POSITION,'{"5": {"position": 1028, "speed": 8000}}',""
0.61,POSITION,'{"5": {"position": 1034, "speed": 8000}}',""
0.62,POSITION,'{"5": {"position": 1037, "speed": 8000}}',""
0.63,POSITION,'{"5": {"position": 1052, "speed": 8000}}',""
0.65,POSITION,'{"5": {"position": 1074, "speed": 8000}}',""
0.66,POSITION,'{"5": {"position": 1087, "speed": 8000}}',""
0.67,POSITION,'{"5": {"position": 1121, "speed": 8000}}',""
0.68,POSITION,'{"7": {"position": 1493, "speed": 8000}, "6": {"position": 1570, "speed": 8000}}',""
0.68,POSITION,'{"5": {"position": 1142, "speed": 8000}}',""
0.69,POSITION,'{"5": {"position": 1185, "speed": 8000}}',""
0.71,POSITION,'{"7": {"position": 1491, "speed": 8000}, "6": {"position": 1572, "speed": 8000}}',""
0.71,POSITION,'{"5": {"position": 1209, "speed": 8000}}',""
0.72,POSITION,'{"7": {"position": 1489, "speed": 8000}, "6": {"position": 1575, "speed": 8000}}',""
0.72,POSITION,'{"5": {"position": 1260, "speed": 8000}}',""
0.73,POSITION,'{"5": {"position": 1288, "speed": 8000}}',""
0.74,POSITION,'{"7": {"position": 1486, "speed": 8000}, "6": {"position": 1579, "speed": 8000}}',""
0.75,POSITION,'{"5": {"position": 1433, "speed": 8000}}',""
0.76,POSITION,'{"7": {"position": 1483, "speed": 8000}, "6": {"position": 1582, "speed": 8000}}',""
0.76,POSITION,'{"5": {"position": 1451, "speed": 8000}}',""
0.77,POSITION,'{"7": {"position": 1482, "speed": 8000}, "6": {"position": 1584, "speed": 8000}}',""
0.77,POSITION,'{"5": {"position": 1464, "speed": 8000}}',""
0.79,POSITION,'{"7": {"position": 1480, "speed": 8000}, "6": {"position": 1587, "speed": 8000}}',""
0.79,POSITION,'{"5": {"position": 1487, "speed": 8000}}',""
0.8,POSITION,'{"7": {"position": 1478, "speed": 8000}, "6": {"position": 1589, "speed": 8000}}',""
0.8,POSITION,'{"5": {"position": 1508, "speed": 8000}}',""
0.81,POSITION,'{"5": {"position": 1520, "speed": 8000}}',""
0.83,POSITION,'{"7": {"position": 1475, "speed": 8000}, "6": {"position": 1593, "speed": 8000}}',""
0.83,POSITION,'{"5": {"position": 1541, "speed": 8000}}',""
0.84,POSITION,'{"7": {"position": 1473, "speed": 8000}, "6": {"position": 1595, "speed": 8000}}',""
0.84,POSITION,'{"5": {"position": 1559, "speed": 8000}}',""
0.85,POSITION,'{"5": {"position": 1567, "speed": 8000}}',""
0.87,POSITION,'{"7": {"position": 1472, "speed": 8000}, "6": {"position": 1597, "speed": 8000}}',""
0.87,POSITION,'{"5": {"position": 1573, "speed": 8000}}',""
0.88,POSITION,'{"7": {"position": 1470, "speed": 8000}, "6": {"position": 1598, "speed": 8000}}',""
0.88,POSITION,'{"5": {"position": 1583, "speed": 8000}}',""
0.89,POSITION,'{"7": {"position": 1469, "speed": 8000}, "6": {"position": 1600, "speed": 8000}}',""
0.89,POSITION,'{"5": {"position": 1589, "speed": 8000}}',""
0.9,POSITION,'{"5": {"position": 1592, "speed": 8000}}',""
0.92,POSITION,'{"5": {"position": 1594, "speed": 8000}}',""
0.93,POSITION,'{"5": {"position": 1597, "speed": 8000}}',""
0.94,POSITION,'{"5": {"position": 1600, "speed": 8000}}',""
0.95,POSITION,'{"5": {"position": 1603, "speed": 8000}}',""
0.97,POSITION,'{"7": {"position": 1467, "speed": 8000}, "6": {"position": 1603, "speed": 8000}}',""
0.97,POSITION,'{"5": {"position": 1612, "speed": 8000}}',""
0.98,POSITION,'{"7": {"position": 1465, "speed": 8000}, "6": {"position": 1605, "speed": 8000}}',""
0.98,POSITION,'{"5": {"position": 1619, "speed": 8000}}',""
0.99,POSITION,'{"5": {"position": 1622, "speed": 8000}}',""
1.01,POSITION,'{"7": {"position": 1463, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',""
1.01,POSITION,'{"5": {"position": 1627, "speed": 8000}}',""
1.02,POSITION,'{"7": {"position": 1462, "speed": 8000}, "6": {"position": 1609, "speed": 8000}}',""
1.02,POSITION,'{"5": {"position": 1629, "speed": 8000}}',""
1.06,POSITION,'{"5": {"position": 1626, "speed": 8000}}',""
1.08,POSITION,'{"5": {"position": 1616, "speed": 8000}}',""
1.09,POSITION,'{"5": {"position": 1610, "speed": 8000}}',""
1.1,POSITION,'{"5": {"position": 1599, "speed": 8000}}',""
1.11,POSITION,'{"5": {"position": 1594, "speed": 8000}}',""
1.12,POSITION,'{"5": {"position": 1589, "speed": 8000}}',""
1.14,POSITION,'{"7": {"position": 1464, "speed": 8000}, "6": {"position": 1607, "speed": 8000}}',""
1.14,POSITION,'{"5": {"position": 1575, "speed": 8000}}',""
1.15,POSITION,'{"5": {"position": 1568, "speed": 8000}}',""
1.16,POSITION,'{"7": {"position": 1465, "speed": 8000}, "6": {"position": 1605, "speed": 8000}}',""
1.16,POSITION,'{"5": {"position": 1554, "speed": 8000}}',""
1.17,POSITION,'{"5": {"position": 1548, "speed": 8000}}',""
1.18,POSITION,'{"5": {"position": 1536, "speed": 8000}}',""
1.2,POSITION,'{"5": {"position": 1529, "speed": 8000}}',""
1.21,POSITION,'{"5": {"position": 1512, "speed": 8000}}',""
1.22,POSITION,'{"5": {"position": 1504, "speed": 8000}}',""
1.23,POSITION,'{"5": {"position": 1486, "speed": 8000}}',""
1.24,POSITION,'{"5": {"position": 1478, "speed": 8000}}',""
1.26,POSITION,'{"7": {"position": 1466, "speed": 8000}, "6": {"position": 1603, "speed": 8000}}',""
1.26,POSITION,'{"5": {"position": 1462, "speed": 8000}}',""
1.27,POSITION,'{"5": {"position": 1452, "speed": 8000}}',""
1.28,POSITION,'{"5": {"position": 1432, "speed": 8000}}',""
1.29,POSITION,'{"7": {"position": 1465, "speed": 8000}, "6": {"position": 1605, "speed": 8000}}',""
1.3,POSITION,'{"5": {"position": 1420, "speed": 8000}}',""
1.31,POSITION,'{"7": {"position": 1462, "speed": 8000}, "6": {"position": 1609, "speed": 8000}}',""
1.31,POSITION,'{"5": {"position": 1399, "speed": 8000}}',""
1.32,POSITION,'{"7": {"position": 1459, "speed": 8000}, "6": {"position": 1613, "speed": 8000}}',""
1.32,POSITION,'{"5": {"position": 1381, "speed": 8000}}',""
1.33,POSITION,'{"7": {"position": 1457, "speed": 8000}, "6": {"position": 1615, "speed": 8000}}',""
1.34,POSITION,'{"5": {"position": 1372, "speed": 8000}}',""
1.35,POSITION,'{"7": {"position": 1455, "speed": 8000}, "6": {"position": 1618, "speed": 8000}}',""
