time,instruction,arg_1,arg_2
0.4,POSITION,'{"0": {"position": 2164, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 2016, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1789, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1410, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1212, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 875, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 819, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 987, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 1253, "speed": 8000}}',""
0.6,POSITION,'{"0": {"position": 1411, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 1575, "speed": 8000}}',""
0.62,POSITION,'{"0": {"position": 1577, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 1547, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1403, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 1363, "speed": 8000}}',""
0.69,POSITION,'{"0": {"position": 1142, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 973, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 940, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 918, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 884, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 874, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 882, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 907, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1118, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1304, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 1337, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1345, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1326, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1139, "speed": 8000}}',""
0.86,POSITION,'{"0": {"position": 978, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 941, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 918, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 826, "speed": 8000}}',""
0.94,POSITION,'{"0": {"position": 834, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 851, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1042, "speed": 8000}}',""
0.97,POSITION,'{"0": {"position": 1052, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1069, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1066, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 1027, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 842, "speed": 8000}}',""
1.14,POSITION,'{"0": {"position": 1008, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1194, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1372, "speed": 8000}}',""
1.18,POSITION,'{"0": {"position": 1384, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1423, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1445, "speed": 8000}}',""
1.22,POSITION,'{"0": {"position": 1626, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1638, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1802, "speed": 8000}}',""
1.26,POSITION,'{"0": {"position": 1835, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1861, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1911, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1936, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1984, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 2007, "speed": 8000}}',""
1.33,POSITION,'{"0": {"position": 2053, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 2080, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.79,POSITION,'{"0": {"position": 2159, "speed": 8000}}',""
1.8,POSITION,'{"0": {"position": 1856, "speed": 8000}}',""
1.81,POSITION,'{"0": {"position": 1523, "speed": 8000}}',""
1.83,POSITION,'{"0": {"position": 1498, "speed": 8000}}',""
1.84,POSITION,'{"0": {"position": 1286, "speed": 8000}}',""
1.85,POSITION,'{"0": {"position": 1272, "speed": 8000}}',""
1.86,POSITION,'{"0": {"position": 1252, "speed": 8000}}',""
1.88,POSITION,'{"0": {"position": 1250, "speed": 8000}}',""
1.89,POSITION,'{"0": {"position": 1263, "speed": 8000}}',""
1.9,POSITION,'{"0": {"position": 1300, "speed": 8000}}',""
1.91,POSITION,'{"0": {"position": 1326, "speed": 8000}}',""
1.93,POSITION,'{"0": {"position": 1494, "speed": 8000}}',""
1.94,POSITION,'{"0": {"position": 1521, "speed": 8000}}',""
1.95,POSITION,'{"0": {"position": 1738, "speed": 8000}}',""
1.96,POSITION,'{"0": {"position": 1891, "speed": 8000}}',""
1.98,POSITION,'{"0": {"position": 1912, "speed": 8000}}',""
1.99,POSITION,'{"0": {"position": 1910, "speed": 8000}}',""
2.0,POSITION,'{"0": {"position": 1686, "speed": 8000}}',""
2.01,POSITION,'{"0": {"position": 1520, "speed": 8000}}',""
2.03,POSITION,'{"0": {"position": 1257, "speed": 8000}}',""
2.04,POSITION,'{"0": {"position": 1018, "speed": 8000}}',""
2.05,POSITION,'{"0": {"position": 1002, "speed": 8000}}',""
2.07,POSITION,'{"0": {"position": 826, "speed": 8000}}',""
2.08,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
2.12,POSITION,'{"0": {"position": 805, "speed": 8000}}',""
2.13,POSITION,'{"0": {"position": 834, "speed": 8000}}',""
2.14,POSITION,'{"0": {"position": 1003, "speed": 8000}}',""
2.15,POSITION,'{"0": {"position": 1174, "speed": 8000}}',""
2.17,POSITION,'{"0": {"position": 1185, "speed": 8000}}',""
2.18,POSITION,'{"0": {"position": 1210, "speed": 8000}}',""
2.20,POSITION,'{"0": {"position": 2200, "speed": 4000}}',""
