time,instruction,arg_1,arg_2
0.47,POSITION,'{"0": {"position": 2197, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 2195, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 2191, "speed": 8000}}',""
0.53,POSITION,'{"0": {"position": 2189, "speed": 8000}}',""
0.54,POSITION,'{"0": {"position": 2182, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 2164, "speed": 8000}}',""
0.57,POSITION,'{"0": {"position": 2153, "speed": 8000}}',""
0.58,POSITION,'{"0": {"position": 2132, "speed": 8000}}',""
0.59,POSITION,'{"0": {"position": 2122, "speed": 8000}}',""
0.61,POSITION,'{"0": {"position": 2111, "speed": 8000}}',""
0.65,POSITION,'{"0": {"position": 2114, "speed": 8000}}',""
0.67,POSITION,'{"0": {"position": 2106, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 2094, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 2073, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1865, "speed": 8000}}',""
0.72,POSITION,'{"0": {"position": 1836, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1815, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1767, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1743, "speed": 8000}}',""
0.77,POSITION,'{"0": {"position": 1705, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1690, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1695, "speed": 8000}}',""
0.81,POSITION,'{"0": {"position": 1715, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 1737, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 1744, "speed": 8000}}',""
0.85,POSITION,'{"0": {"position": 1740, "speed": 8000}}',""
0.87,POSITION,'{"0": {"position": 1723, "speed": 8000}}',""
0.88,POSITION,'{"0": {"position": 1676, "speed": 8000}}',""
0.89,POSITION,'{"0": {"position": 1525, "speed": 8000}}',""
0.9,POSITION,'{"0": {"position": 1513, "speed": 8000}}',""
0.91,POSITION,'{"0": {"position": 1502, "speed": 8000}}',""
0.93,POSITION,'{"0": {"position": 1484, "speed": 8000}}',""
0.95,POSITION,'{"0": {"position": 1493, "speed": 8000}}',""
0.96,POSITION,'{"0": {"position": 1508, "speed": 8000}}',""
0.98,POSITION,'{"0": {"position": 1551, "speed": 8000}}',""
0.99,POSITION,'{"0": {"position": 1606, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 1629, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 1661, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 1666, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 1645, "speed": 8000}}',""
1.05,POSITION,'{"0": {"position": 1622, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1448, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1444, "speed": 8000}}',""
1.09,POSITION,'{"0": {"position": 1426, "speed": 8000}}',""
1.1,POSITION,'{"0": {"position": 1404, "speed": 8000}}',""
1.11,POSITION,'{"0": {"position": 1395, "speed": 8000}}',""
1.13,POSITION,'{"0": {"position": 1384, "speed": 8000}}',""
1.15,POSITION,'{"0": {"position": 1396, "speed": 8000}}',""
1.16,POSITION,'{"0": {"position": 1408, "speed": 8000}}',""
1.17,POSITION,'{"0": {"position": 1441, "speed": 8000}}',""
1.19,POSITION,'{"0": {"position": 1458, "speed": 8000}}',""
1.2,POSITION,'{"0": {"position": 1493, "speed": 8000}}',""
1.21,POSITION,'{"0": {"position": 1510, "speed": 8000}}',""
1.23,POSITION,'{"0": {"position": 1549, "speed": 8000}}',""
1.24,POSITION,'{"0": {"position": 1716, "speed": 8000}}',""
1.25,POSITION,'{"0": {"position": 1726, "speed": 8000}}',""
1.27,POSITION,'{"0": {"position": 1766, "speed": 8000}}',""
1.28,POSITION,'{"0": {"position": 1949, "speed": 8000}}',""
1.3,POSITION,'{"0": {"position": 1951, "speed": 8000}}',""
1.31,POSITION,'{"0": {"position": 1963, "speed": 8000}}',""
1.32,POSITION,'{"0": {"position": 1983, "speed": 8000}}',""
1.34,POSITION,'{"0": {"position": 2001, "speed": 8000}}',""
1.35,POSITION,'{"0": {"position": 2037, "speed": 8000}}',""
1.36,POSITION,'{"0": {"position": 2060, "speed": 8000}}',""
1.37,POSITION,'{"0": {"position": 2200, "speed": 8000}}',""
1.85,POSITION,'{"0": {"position": 2170, "speed": 8000}}',""
1.86,POSITION,'{"0": {"position": 2153, "speed": 8000}}',""
1.88,POSITION,'{"0": {"position": 1841, "speed": 8000}}',""
1.89,POSITION,'{"0": {"position": 1570, "speed": 8000}}',""
1.9,POSITION,'{"0": {"position": 1546, "speed": 8000}}',""
1.92,POSITION,'{"0": {"position": 1357, "speed": 8000}}',""
1.93,POSITION,'{"0": {"position": 1333, "speed": 8000}}',""
1.94,POSITION,'{"0": {"position": 1173, "speed": 8000}}',""
1.95,POSITION,'{"0": {"position": 1149, "speed": 8000}}',""
1.97,POSITION,'{"0": {"position": 1138, "speed": 8000}}',""
1.98,POSITION,'{"0": {"position": 1130, "speed": 8000}}',""
1.99,POSITION,'{"0": {"position": 1136, "speed": 8000}}',""
2.01,POSITION,'{"0": {"position": 1302, "speed": 8000}}',""
2.02,POSITION,'{"0": {"position": 1322, "speed": 8000}}',""
2.03,POSITION,'{"0": {"position": 1523, "speed": 8000}}',""
2.04,POSITION,'{"0": {"position": 1687, "speed": 8000}}',""
2.06,POSITION,'{"0": {"position": 1721, "speed": 8000}}',""
2.07,POSITION,'{"0": {"position": 1739, "speed": 8000}}',""
2.08,POSITION,'{"0": {"position": 1762, "speed": 8000}}',""
2.09,POSITION,'{"0": {"position": 1753, "speed": 8000}}',""
2.11,POSITION,'{"0": {"position": 1729, "speed": 8000}}',""
2.12,POSITION,'{"0": {"position": 1556, "speed": 8000}}',""
2.13,POSITION,'{"0": {"position": 1514, "speed": 8000}}',""
2.15,POSITION,'{"0": {"position": 1492, "speed": 8000}}',""
2.16,POSITION,'{"0": {"position": 1456, "speed": 8000}}',""
2.17,POSITION,'{"0": {"position": 1442, "speed": 8000}}',""
2.18,POSITION,'{"0": {"position": 1428, "speed": 8000}}',""
2.2,POSITION,'{"0": {"position": 1431, "speed": 8000}}',""
2.21,POSITION,'{"0": {"position": 1446, "speed": 8000}}',""
2.22,POSITION,'{"0": {"position": 1448, "speed": 8000}}',""
2.24,POSITION,'{"0": {"position": 1438, "speed": 8000}}',""
