time,instruction,arg_1,arg_2
0.02,POSITION,'{"13": {"position": 970, "speed": 8000}}',""
0.04,POSITION,'{"13": {"position": 955, "speed": 8000}}',""
0.05,POSITION,'{"13": {"position": 949, "speed": 8000}}',""
0.07,POSITION,'{"13": {"position": 935, "speed": 8000}}',""
0.08,POSITION,'{"13": {"position": 931, "speed": 8000}}',""
0.09,POSITION,'{"13": {"position": 925, "speed": 8000}}',""
0.11,POSITION,'{"13": {"position": 923, "speed": 8000}}',""
0.12,POSITION,'{"13": {"position": 917, "speed": 8000}}',""
0.13,POSITION,'{"13": {"position": 915, "speed": 8000}}',""
0.14,POSITION,'{"13": {"position": 910, "speed": 8000}}',""
0.16,POSITION,'{"12": {"position": 1848, "speed": 8000}}',""
0.16,POSITION,'{"13": {"position": 906, "speed": 8000}}',""
0.17,POSITION,'{"12": {"position": 1851, "speed": 8000}}',""
0.17,POSITION,'{"13": {"position": 903, "speed": 8000}}',""
0.18,POSITION,'{"12": {"position": 1854, "speed": 8000}}',""
0.18,POSITION,'{"13": {"position": 899, "speed": 8000}}',""
0.2,POSITION,'{"12": {"position": 1857, "speed": 8000}}',""
0.2,POSITION,'{"13": {"position": 895, "speed": 8000}}',""
0.22,POSITION,'{"12": {"position": 1860, "speed": 8000}}',""
0.22,POSITION,'{"13": {"position": 893, "speed": 8000}}',""
0.24,POSITION,'{"12": {"position": 1864, "speed": 8000}}',""
0.24,POSITION,'{"13": {"position": 891, "speed": 8000}}',""
0.26,POSITION,'{"12": {"position": 1867, "speed": 8000}}',""
0.27,POSITION,'{"12": {"position": 1870, "speed": 8000}}',""
0.27,POSITION,'{"13": {"position": 889, "speed": 8000}}',""
0.3,POSITION,'{"12": {"position": 1872, "speed": 8000}}',""
0.31,POSITION,'{"12": {"position": 1875, "speed": 8000}}',""
0.34,POSITION,'{"12": {"position": 1877, "speed": 8000}}',""
0.35,POSITION,'{"12": {"position": 1880, "speed": 8000}}',""
0.37,POSITION,'{"12": {"position": 1884, "speed": 8000}}',""
0.38,POSITION,'{"12": {"position": 1888, "speed": 8000}}',""
0.39,POSITION,'{"12": {"position": 1893, "speed": 8000}}',""
0.4,POSITION,'{"13": {"position": 887, "speed": 8000}}',""
0.41,POSITION,'{"12": {"position": 1895, "speed": 8000}}',""
0.42,POSITION,'{"12": {"position": 1898, "speed": 8000}}',""
0.44,POSITION,'{"12": {"position": 1901, "speed": 8000}}',""
0.45,POSITION,'{"12": {"position": 1904, "speed": 8000}}',""
0.46,POSITION,'{"12": {"position": 1906, "speed": 8000}}',""
0.5,POSITION,'{"12": {"position": 1909, "speed": 8000}}',""
0.54,POSITION,'{"13": {"position": 890, "speed": 8000}}',""
0.55,POSITION,'{"13": {"position": 895, "speed": 8000}}',""
0.57,POSITION,'{"12": {"position": 1911, "speed": 8000}}',""
0.57,POSITION,'{"13": {"position": 900, "speed": 8000}}',""
0.58,POSITION,'{"13": {"position": 904, "speed": 8000}}',""
0.59,POSITION,'{"13": {"position": 907, "speed": 8000}}',""
0.6,POSITION,'{"13": {"position": 911, "speed": 8000}}',""
0.62,POSITION,'{"12": {"position": 1909, "speed": 8000}}',""
0.62,POSITION,'{"13": {"position": 915, "speed": 8000}}',""
0.64,POSITION,'{"12": {"position": 1907, "speed": 8000}}',""
0.64,POSITION,'{"13": {"position": 920, "speed": 8000}}',""
0.66,POSITION,'{"12": {"position": 1905, "speed": 8000}}',""
0.67,POSITION,'{"12": {"position": 1900, "speed": 8000}}',""
0.67,POSITION,'{"13": {"position": 923, "speed": 8000}}',""
