time,instruction,arg_1,arg_2
0.02,POSITION,'{"0": {"position": 1899, "speed": 8000}}',""
0.04,POSITION,'{"0": {"position": 1894, "speed": 8000}}',""
0.05,POSITION,'{"0": {"position": 1887, "speed": 8000}}',""
0.07,POSITION,'{"0": {"position": 1879, "speed": 8000}}',""
0.08,POSITION,'{"0": {"position": 1872, "speed": 8000}}',""
0.1,POSITION,'{"0": {"position": 1869, "speed": 8000}}',""
0.11,POSITION,'{"0": {"position": 1863, "speed": 8000}}',""
0.12,POSITION,'{"0": {"position": 1858, "speed": 8000}}',""
0.14,POSITION,'{"0": {"position": 1853, "speed": 8000}}',""
0.15,POSITION,'{"0": {"position": 1851, "speed": 8000}}',""
0.16,POSITION,'{"0": {"position": 1847, "speed": 8000}}',""
0.18,POSITION,'{"0": {"position": 1844, "speed": 8000}}',""
0.2,POSITION,'{"0": {"position": 1842, "speed": 8000}}',""
0.25,POSITION,'{"0": {"position": 1839, "speed": 8000}}',""
0.29,POSITION,'{"0": {"position": 1837, "speed": 8000}}',""
0.32,POSITION,'{"0": {"position": 1832, "speed": 8000}}',""
0.33,POSITION,'{"0": {"position": 1828, "speed": 8000}}',""
0.34,POSITION,'{"0": {"position": 1820, "speed": 8000}}',""
0.35,POSITION,'{"0": {"position": 1816, "speed": 8000}}',""
0.37,POSITION,'{"0": {"position": 1807, "speed": 8000}}',""
0.38,POSITION,'{"0": {"position": 1802, "speed": 8000}}',""
0.39,POSITION,'{"0": {"position": 1790, "speed": 8000}}',""
0.41,POSITION,'{"0": {"position": 1775, "speed": 8000}}',""
0.42,POSITION,'{"0": {"position": 1761, "speed": 8000}}',""
0.43,POSITION,'{"0": {"position": 1755, "speed": 8000}}',""
0.45,POSITION,'{"0": {"position": 1746, "speed": 8000}}',""
0.46,POSITION,'{"0": {"position": 1737, "speed": 8000}}',""
0.47,POSITION,'{"0": {"position": 1733, "speed": 8000}}',""
0.49,POSITION,'{"0": {"position": 1726, "speed": 8000}}',""
0.5,POSITION,'{"0": {"position": 1723, "speed": 8000}}',""
0.51,POSITION,'{"0": {"position": 1719, "speed": 8000}}',""
0.55,POSITION,'{"0": {"position": 1716, "speed": 8000}}',""
0.56,POSITION,'{"0": {"position": 1714, "speed": 8000}}',""
0.66,POSITION,'{"0": {"position": 1712, "speed": 8000}}',""
0.68,POSITION,'{"0": {"position": 1710, "speed": 8000}}',""
0.7,POSITION,'{"0": {"position": 1700, "speed": 8000}}',""
0.71,POSITION,'{"0": {"position": 1682, "speed": 8000}}',""
0.73,POSITION,'{"0": {"position": 1672, "speed": 8000}}',""
0.74,POSITION,'{"0": {"position": 1645, "speed": 8000}}',""
0.75,POSITION,'{"0": {"position": 1629, "speed": 8000}}',""
0.76,POSITION,'{"0": {"position": 1583, "speed": 8000}}',""
0.78,POSITION,'{"0": {"position": 1556, "speed": 8000}}',""
0.79,POSITION,'{"0": {"position": 1396, "speed": 8000}}',""
0.8,POSITION,'{"0": {"position": 1225, "speed": 8000}}',""
0.82,POSITION,'{"0": {"position": 972, "speed": 8000}}',""
0.83,POSITION,'{"0": {"position": 947, "speed": 8000}}',""
0.84,POSITION,'{"0": {"position": 800, "speed": 8000}}',""
1.0,POSITION,'{"0": {"position": 825, "speed": 8000}}',""
1.01,POSITION,'{"0": {"position": 845, "speed": 8000}}',""
1.02,POSITION,'{"0": {"position": 861, "speed": 8000}}',""
1.03,POSITION,'{"0": {"position": 879, "speed": 8000}}',""
1.04,POSITION,'{"0": {"position": 926, "speed": 8000}}',""
1.06,POSITION,'{"0": {"position": 1088, "speed": 8000}}',""
1.07,POSITION,'{"0": {"position": 1104, "speed": 8000}}',""
1.08,POSITION,'{"0": {"position": 1124, "speed": 8000}}',""
