state,interaction_name
IDLE,idle_1
ACTIVATING,a_specific_dream
ACTIVE,a_specific_dream
ACTIVE,a_specific_dream
ACTIVE,a_specific_dream
ACTIVE,youve_got_that_look
ACTIVE,secret
ACTIVE,cant_stop_thinking
ACTIVE,come_here_face
ACTIVE,see_ya_later
ACTIVE,oh_youre_off
ACTIVE,dont_worry
ACTIVE,missed_you
ACTIVE,you_havent_visited
ACTIVE,youll_stay_with_me
ACTIVE,hi_hello_yes_you
ACTIVE,hey_whats_up
ACTIVE,G4_hey_mate
ACTIVE,you_made_it
ACTIVE,i_didnt_mean_it
ACTIVE,it_all_happened_so_fast
ACTIVE,i_just_get_a_hold
ACTIVE,nothing_sticks
ACTIVE,fear_you
DEACTIVATING,hey_its_you
DEACTIVATING,bye_come_back_soon
